question,option_a,option_b,option_c,option_d,correct_option,subject,topic,explanation
What is the approximate population of Pakistan?,150 million,180 million,240 million,300 million,3,Social Studies,Population,Pakistan's population is approximately 240 million according to recent estimates.
What is the capital city of Pakistan?,Karachi,Lahore,Islamabad,Peshawar,3,Social Studies,Geography,Islamabad is the capital city of Pakistan and serves as the political center.
What is 15 + 27?,32,40,42,45,3,Mathematics,Addition,15 + 27 equals 42.
What is the value of 9 × 8?,72,81,64,69,1,Mathematics,Multiplication,9 multiplied by 8 equals 72.
What is the square root of 81?,7,8,9,6,3,Mathematics,Square Roots,The square root of 81 is 9 because 9 × 9 = 81.
What is the SI unit of force?,Joule,Newton,Watt,Pascal,2,Physics,Units,The SI unit of force is Newton (N).
What is the acceleration due to gravity on Earth?,5.8 m/s²,8.9 m/s²,9.8 m/s²,12 m/s²,3,Physics,Gravity,The standard acceleration due to gravity on Earth is 9.8 m/s².
What type of energy is stored in a stretched spring?,Kinetic Energy,Thermal Energy,Potential Energy,Electrical Energy,3,Physics,Energy,A stretched spring stores potential energy.
Which gas is most abundant in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,3,Science,Atmosphere,Nitrogen makes up about 78% of Earth's atmosphere.
What is the chemical symbol for Sodium?,So,Na,Sd,Sn,2,Chemistry,Elements,The chemical symbol for Sodium is Na.
