Question,A,B,C,D,Correct Answer,Feedback / Explanation
Federal Truth-in-Lending Law (3-day right of rescission),A loan secured by a second deed of trust on owner-occupied single-family residence after purchase,FHA or VA loan to purchase a single-family owner-occupied residence,Purchase-money loan on commercial property,Conventional purchase-money loan on residential property,A,"The 3-day right of rescission applies to refinances or second mortgages on owner-occupied single-family homes, not purchase-money loans."
Value placed on property for tax purposes,Assessed Value,Actual Value,Estimated Value,Appraised Value,A,Assessed value is used by tax authorities to calculate property taxes.
"""Let the buyer beware""",Caveat emptor,Lis pendens,Ad valorem,Etu eta,A,Caveat emptor is a Latin term meaning "let the buyer beware."
Fee charged by lender for expenses during loan setup,Loan discount fee,Mortgage loan broker’s fee,Loan origination fee,Prepayment fee,C,Loan origination fee is a percentage of the loan charged to cover lender’s processing costs.
Amortization tables determine,Term of the loan,Monthly payment,Interest rate,APR,B,"Amortization tables are used to calculate monthly payments based on loan amount, term, and interest rate."
Mortgage payment is late when received,5 days after due date,3 days after due date,10 days after due date,More than 10 days after due date,D,Standard mortgage contracts usually consider payments late after 10 days past the due date.
Defines a mortgage loan,Instrument only in real estate exchange,Loan collateralized with real estate,Promissory note unpaid,Unsecured financial obligation,B,A mortgage is a loan secured by real estate as collateral.
Most important factor in loan decision,General economic outlook,Availability of mortgage funds,Degree of risk,Customary practices,C,Lenders primarily consider risk when deciding on a specific loan.
Major source for junior loans,Insurance companies,Federal Land Bank,Commercial banks,Private lenders,D,Private lenders are the main source for junior (second) loans.
Fed increases cash reserve requirements to,Raise taxes,Sell bonds,Increase loan activity,Decrease loan activity,D,"Increasing reserve requirements reduces bank lending, decreasing loan activity."
Portfolio risk management concern,Diversification,"Reserves, Diversification, and Liquidity",Liquidity,Reserves,B,"Lenders must manage reserves, diversification, and liquidity to reduce risk."
When prices decrease,No effect,Value of money increases,Value of money decreases,Value of commodities increases,B,"When prices fall, money gains purchasing power."
"Owner borrows $75k, property increases $30k",Highest and best use,Leverage,Plottage,Depreciation,B,"Leverage occurs when borrowed funds are used to increase property value, magnifying returns."
Purpose of a release clause,Release some properties upon partial payment,Release borrower from liability,Release lender from liability,Release title company,A,"In a blanket mortgage, a release clause allows freeing portions of property as partial payment is made."
Balloon loan description,Non-assumable loan,Partially-amortized loan,Due-on-sale loan,Fully-amortized loan,B,A balloon loan is partially amortized with a large final payment due.
GPAM mortgage loan provides,Renegotiation of interest rate,Deferred principal payments early in loan,Series of short-term notes,Adjustable interest as market rates change,B,GPAM (Graduated Payment Adjustable Mortgage) defers part of principal in early years.
Loan with adjustable interest rate,Variable interest rate loan,Fluctuating market condition loan,Interim loan,Short-term land contract loan,A,Variable interest loans adjust rates based on market conditions.
Lender “discounting” refers to,Adjusting yield by variable interest,Determining effective interest rate,Loan proceeds < face value,Difference between nominal and effective interest,C,Discounting means the lender disburses less than the note’s face value.
