Question,A,B,C,D,Correct Answer,Feedback / Explanation
Real property can become personal property by a process called:,Attachment,Accretion,Hypothecation,Severance,Severance,"Severance is the changing an item of real property to personal property by detaching it from the land. For example, cutting down a tree ""severs"" it from the real property, at which point the wood becomes personal property."
The right of eminent domain refers to:,The government's right to acquire or authorize others to acquire title to property for public use,An institution or individual acquiring land by grant from the government,An organization's right to condemn property pending an improvement that is for the good of the.community,The right of every American citizen to own property,The government's right to acquire or authorize others to acquire title to property for public use,"Eminent domain is the power of a state, provincial, or national government to take private property for public use."
The term "real property" refers to what?,Just the land itself,The land and any attachments or improvements,"Land, improvements, and the bundie of rights of ownership",‘The bundle of rights of ownership,"Land, improvements, and the bundie of rights of ownership","Real property refers to the land itself, any attachments or improvements, and the bundle of rights associated with ownership."
Littoral rights" are what?,Rights that govern lakefront or oceanfront property,Rights that govern flowing water like rivers,The right to the water beneath a property,The right to collect rainwater on a property,Rights that govern lakefront or oceanfront property,"Littoral rights are rights that govern lakefront or oceanfront property. Riparian rights have to do with flowing water like rivers (remember, L = littoral = lake, R = riparian = river). Percolating water rights have to do with the rights to the water below a property, and the doctrine of prior appropriation is a legal doctrine governing water usage in some states."
Legal descriptions that are used in purchase contracts and deeds must be accurate. All of the following would be considered a good and accurate legal description EXCEPT which?,"The section, township, and range where the property is located",The property address with full zip code,The lot and block number,A description using compass degrees and a point of beginning,The property address with full zip code,"Street addresses are not used as legal descriptions but are often included as a property reference. Lots and blocks, metes and bounds, and the government survey system are all acceptable legal descriptions."
A section in the rectangular survey system contains:,160 acres per section,640 acres per section,36 townships,160 government lots,640 acres per section,"Each township contains 36 sections, and each section is 1 square mile, or 640 acres per section."
A real estate licensee has a buyer agency agreement. What is the relationship of the seller to the licensee in this situation?,Fiduciary,Client,Agent,Customer,Customer,"There's an important distinction between client and customer. Unless there is a specific agreement to the contrary, licensees represent only one side in a transaction and the person they represent is their client - everyone the licensee doesn't represent is a customer. In this case, the licensee represents the buyer so the seller is a customer to the licensee."
"Douglas, a broker, has entered into a listing agreement with a seller. Oscar is a different broker who has been working with the buyer and leams of the property through the MLS. Who would Oscar represent?",The seller as an agent,The seller as a subagent,The buyer as an agent ,The buyer as a subagent,The buyer as an agent ,"Because Oscar, the second cooperating broker in this case, has been working with the buyer, he would represent the buyer as a buyer's agent."
"What type of a listing agreement allows the owner to appoint an exclusive agent to sell his property, but retains the right to sell the property himself without paying a commission?",Multiple listing,Open ,Exclusive right to sell,Exclusive agency,Exclusive agency,"An exclusive right to sell listing gives the broker his or her commission regardless of who actually sells the property, even if it is the owner. Exclusive agency allows the seller to appoint an exclusive agent, but retains the right to sell the property himself. Open listings mean that if the owner or any other broker or salesperson produces the buyer, the broker will lose his or her commission."
The position of trust assumed by the broker as an agent for the client is described most accurately as a:,Trustee relationship,Fiduciary relationship,Confidential refationship,Trustor relationship,Fiduciary relationship,"A fiduciary is a person who holds a legal or ethical relationship of trust with one or more other parties (person or group of persons). Typically, a fiduciary takes care of money or other assets for another person."
An agent becomes the agent of the seller when both the seller and the agent sign a(n):,Listing agreement,Purchase agreement ,Transfer disclosure statement ,Agency disclosure statement,Listing agreement,The listing agreement is the employment contract that creates the agency relationship between the seller and the listing agent.
"If a borrower must pay $6,000 for points on a $150,000 loan, how many points is the lender charging for this loan?",5,4,6,3,4,"One discount point costs 1% of your mortgage amount. 1% of $150,000 = $1,500, and $6,000 ÷ $1,500 = 4.

Mortgage points, also known as discount points, are fees paid directly to the lender at closing in exchange for a reduced interest rate. This is also called “buying down the rate,” which can lower your monthly mortgage payments."
A square is 1/8 of a mile by 1/8 of a mile. How many acres is this?,40 acres,10 acres ,20 acres,160 acres,10 acres ,"1/8 mile x 1/8 mile = 1/64 of a square mile. There are 640 acres in a square mile, so multiply these numbers to find the answer:

1/64 sq. mile x 640 sq. mile = 10

NOTE: You can solve this two ways: 640 x 1/64, which is the same as 640/64 = 10.
Or, the second way (which requires a calculator): 1 ÷ 64 x 640 = 10."
"Jeremy has a monthly income of $2,000. His payment-to-income ratio is 20%. How much is his monthly payment?",$800 ,"$1,200 ",$400 ,$500 ,$400 ,"The formula for finding the monthly payment when you know the income and payment-to-income ratio is Monthly income x Payment-to-income ratio = Monthly payment. So, $2,000 multiplied by 0.2 = $400."
"Broker Emile sells his client's home for $800,000 with the help of a cooperating broker. The parties have agreed that the 6% commission would be evenly split between the two brokers. Emile has a 140 80 split with his firm and the cooperating broker has a 50-50 commission split agreement with his firm. How much will Emile earn?","$24,000 ","$9,600 ","$10,572 ","$14,400 ","$9,600 ","First multiply the gross sale price of $800,000 x 0.06 to get $48,000. This is the total commission, which will need to be divided by 2 since it will be split evenly between the two brokers/firms. That gives us $24,000 for Emile's side of the transaction. Emile gets to keep 40% of the $24,000. So: 0.40 x $24,000 = $9,600."
A broker was found guilty of steering. What did the broker do?,"Before showing properties, she asked the buyers what areas they wanted to see properties in",She told the buyers what price to offer,She insisted on driving the buyers to each property shown,She showed buyers properties in a predominately minority community because the buyers were of the same race,She showed buyers properties in a predominately minority community because the buyers were of the same race,Racial steering refers to the practice of advising customers to purchase homes in particular neighborhoods on the basis of race — the broker "steers" the buyer towards a certain neighborhood based on their race. Fair housing laws prohibit steering and other discriminatory practices.
"Under the Equal Credit Opportunity Act, lenders are prohibited from doing which of the following?",Refusing credit due to the applicant's FICO score,Refusing credit due to the condition of the property,Refusing credit due to down payment requirements,Refusing credit due to the gender of an applicant,Refusing credit due to the gender of an applicant,"The Federal Trade Commission (FTC), the nation's consumer protection agency, enforces the Equal Credit Opportunity Act (ECOA), which prohibits credit discrimination on the basis of race, color, religion, national origin, sex, marital status, age, or because you get public assistance. Lenders are still allowed to refuse loans to any person for financial reasons that would disqualify anyone from getting that same loan."
Which of these is NOT a protected class under the Fair Housing Act?,Age,Race,Religion,National origin,Age,"The protected classes under the Fair Housing Act are religion, color, race, national origin, familial status, sex (including gender presentation and sexuality), and disability status. Age is not a protected category."
The Civil Rights Act of 1866 prohibits discrimination in housing based on which of the following reasons?,Religion,sex,Race,Marital status,Race,"Although surprising to many, the original civil rights legislation was passed in 1866 by one vote, over the veto of President Andrew Johnson. It prohibited discrimination based on race, although later amendments added protections for religion, sex, and marital status."
A written summary of the history of all conveyances and legal proceedings affecting a specific parcel of real estate is called a(n):,Lender's title insurance policy,Abstract of title,Affidavit of title,Owner's title insurance policy,Abstract of title,"An abstract of title is a written summary that traces every change of ownership and claim against a property (such as mortgages, liens, and easements). In some cases, the abstract goes back to the last change of title, and sometimes it traces back to the first recorded owner. It is part of the title report required by virtually all lenders."
A bill of sale is used to transfer the ownership of what?,Personal property,Real property,Fixtures,Appurtenances,Personal property,"Personal property differs from real property in a number of respects, most importantly its portability. Cars, furniture, clothing, paintings, jewelry, appliances, and just about any other non-food item one buys are examples of personal property. A bill of sale is proof of the transfer of ownership of personal property."
The recording of a deed:,Warrants the title to real property,Insures the interest in a parcel of real estate,Gives constructive notice of the ownership of real property,Is all that is required to transfer the title to real estate,Gives constructive notice of the ownership of real property,"Recording a deed does not convey, insure, or warrant ownership. However, it does protect the owner's interest in a property by serving notice that the recorded owner is the only recognized holder of title. This places a larger burden of proof and process on someone trying to assert a prior ownership interest and/or claiming a deed holder's title is clouded."
Voluntary alienation refers to:,Descent, Adverse possession,A sale or gift ,Eminent domain,A sale or gift ,Voluntary alienation is the transfer of real property (or some other asset) through a person's intentional actions and of their own free will.
"On a closing statement in a typical real estate transaction, the buyer's earnest money deposit is reflected as a:",Credit to the seller and a debit to the buyer,Credit to the buyer,Bill of sale,Debit to the buyer only,Credit to the buyer,"Debits are costs and credits represent funds deposited. Earnest money deposits are generally considered a credit towards the buyer's purchase of the property, unless it is a situation where the earnest money is returned to the buyer."
Which type of lease requires the lessee to pay a flat rent?,Net lease ,Percentage lease,Sandwich lease,Gross lease.,Gross lease.,"A gross lease is a lease where the lessee pays a fixed rent and the lessor pays the taxes, insurance, and other charges regularly incurred through ownership."
What agency relationship do a property manager and property owner typically have?,Dual agency,General agency,Special agency,Limited partnership,General agency,"Since a property manager makes decisions on behalf of the owner, such as tenant selection, budget preparation, and employee relations, the property manager is a general agent."
A type of leasehold estate in which a tenant stays in possession of a property after the lease has expired is called what?,Estate at sufferance,Fee simple estate,Life estate,Qualified fee estate,Estate at sufferance,Estate at sufferance is a type of leasehold estate in which a tenant stays in possession of a property after the lease has expired or been legally terminated without the consent of the owner/landlord.
The ownership of land for the duration of a person's life is called what?,A fee simple estate,Adefeasible fee estate,A life estate,Estate at will,A life estate,"A life estate is the ownership of land for the duration of a person's life. In legal terms, it is an estate in real property that ends at death when ownership of the property may revert to the original owner, or it may pass to another person called the ""remainderman."""
"Sisters Rachel and Lani own property together. They own unequal shares of the property, and when either person dies, their children will inherit the property. How do Rachel and Lani most likely hold title?",Joint tenancy ,Community property,As tenants in common,Tenancy of the entirety,As tenants in common,"Tenants in common can own unequal shares of a property, have an undivided interest in the property, and they have the right of inheritance, not survivorship."
