Question,A,B,C,D,Correct Answer,Feedback / Explanation
The purpose of the closing event is to,confirm that the buyer has fulfilled all contract requirements prior to title transfer immediately after closing,ensure that the seller has marketable title before monies are transferred,conclude the process for loan approval,exchange legal title for the sale price,d,"The closing process consists of buyer and seller verifying that each has fulfilled the terms of the sale contract. If they have, then the mortgage loan, if any, is closed, all expenses are apportioned and paid, the consideration is exchanged for the title, final documents are signed, and arrangements are made to record the transaction according to local laws"
"A buyer's financing arrangements are often concluded at closing, because",lenders do not fund loans unless title is being transferred,the lender wants to ensure proper handling of the collateral for the loan,the loan term must coincide with title transfer,the deed will be held as collateral for the loan,b,"A lender is concerned about the quality of the collateral a borrower is providing in return for the mortgage loan. The collateral would be endangered by defects in the title, by liens that would take precedence over the mortgage lien, such as a tax lien, and by physical damage to the property which is not repaired. Consequently, the lender typically requires a survey; a property inspection; hazard insurance; a title insurance policy; a reserve account for taxes and insurance; and possibly, private mortgage insurance. In some cases the lender may also require a certificate of occupancy verifying that any new construction performed complies with local building codes"
The Real Estate Settlement Procedures Act prescribes closing procedures that must be followed whenever,"a first, second, or third mortgage lien is involved",the loan is to be sold to the FNMA,the buyer pays all cash for the property,the property is a residential complex in excess of four units,b,"RESPA specifies certain closing procedures when a purchase is being financed by a ""federally-related"" mortgage loan, which includes loans made by a federally-insured lender; loans insured or guaranteed by the VA or FHA, loans administered by HUD, and loans intended to be sold to FNMA, FHLMC, or GNMA"
"A sale contract stipulates that a buyer is to pay the seller's title insurance expenses. This practice is not customary in the area. In this case,",the buyer and seller must amend the contract before closing,"the contract is voidable, since the seller must pay the expense","the buyer may pay or not pay the expense, at his or her option",the buyer must pay the expense,d,"Explicit agreements in the sale contract supercede traditional expense-payment responsibilities, which can vary from state to state"
A prorated expense on the settlement statement is,a debit to the buyer and seller,a credit to the buyer and seller,a debit and credit to the buyer and seller,a debit to one party and a credit to the other,d,A prorated item is treated as a debit to one party and a credit to the other party for the same amount
The amount a buyer owes at closing is equal to,the excess of the buyer's debits over the buyer's credits,the excess of the buyer's credits over the buyer's debits,the excess of the seller's debits over the seller's credits,the excess of the seller's credits over the seller's debits,a,The excess of the buyer's debits over the buyer's credits is the amount the buyer must bring to the closing
Which of the following are examples of closing items not prorated between buyer and seller?,Taxes and rents,Inspection fees,Utilities and hazard insurance,Condominium assessments and special assessment payments,b,Inspection fees are usually paid in full by the seller
Which of the following items are paid in arrears?,Taxes and insurance,Rents and interest,Taxes and interest,Rents and insurance,c,"At the time of closing, the seller has incurred certain expenses that have not been billed or paid at the time of closing and that the buyer will have to pay later. Typical items are real estate taxes, utility bills and interest on an assumed mortgage"
Which of the following items are paid in advance?,Taxes and insurance,Rents and interest,Insurance and interest,Rents and insurance,d,"At the time of closing, the seller has paid some items in advance that cover a period of time that goes beyond the closing date. In effect, the seller has prepaid some of the buyer's expenses, and the buyer must reimburse the seller. Hazard and flood insurance premiums are typical items. By the same token, the seller of a rental property may have received rent or rental deposits in advance, and must reimburse the buyer for the part that belongs to the buyer"
"If a sale contract indicates that the day of closing is ""the seller's day,"" this means that",the seller must pay prorated expenses inclusive of the day of closing,the seller does not own the property on the day of closing,the seller may elect the proration method on the day of closing,the seller must pay the buyer's portion of prorated expenses instead of the seller's portion,a,It is customary in most states that the seller owns the property up to and including the day of closing unless stated otherwise in the contract. Thus the closing day is apportioned to the seller in computing prorations
Documentary stamps are used to,document the procedures employed to close a transaction,document the payment of a transfer tax,certify that a transaction was recorded,mail closing documents to principal parties after closing,b,"Most states impose a transfer tax when real estate is conveyed. The tax is usually paid when the deed is recorded, often in the form of documentary stamps purchased from the recorder where the deed is recorded. The stamps must be attached to deeds and conveyances before they are recorded"
What is the Internal Revenue Service's Form 1099-S?,The buyer's and seller's capital gain form,A form that summarizes and reports transaction data from a closing,A form brokers must submit if the buyer or seller is a foreigner,A lender's tax form showing that a loan was funded for a buyer,b,The person reporting files a Form 1099-S information return with the Internal Revenue Service. This form includes the names and addresses of the parties to the transaction and information about the sale proceeds
"Assume a seller at closing must pay transfer taxes at the rate of $1.00 for every $500 of purchase price, or fraction thereof. If the sale price is $345,600, how much tax must the seller pay?",$69.12 ,$70.00 ,$691 ,$692 ,d,"Methods of stating the transfer tax due include quoting the tax as a percentage of the taxable consideration and as a dollar rate per $100.00 of total selling price. If the number of 100's is not a whole number, it must be rounded up to the next 100. For instance, if a property sells for $345,600 and the tax rate is $1.00 per $500.00 ""or any fraction thereof,"" the tax stamps will cost:  345,600 ÷ 500.00 = 691.20. 691.20 rounded up = 692. 692 x $1.00 = $692"
"If a seller paid $488 for transfer taxes at closing, and the rate was $1.00 for every $400 or fraction thereof of the sale price, what was the sale price?","$195,500 ","$1,950,000 ","$195,200 ","$1,952,000 ",c,"$488 x $400 = $195,200"
"The closing is the culmination of the real estate transaction.  During the closing, which of the following items is addressed and completed?","The payment of the purchase price, other charges, and disbursement of the loan proceeds",The review of the Loan Estimate and Closing Disclosure forms,The renegotiation of the terms of the sales contract,The assessment of the credit report and credit score,a,"During the closing, the buyer pays the purchase price and receives the title to the purchased real estate. At the same time, the buyer completes financing arrangements, and the buyer and seller pay all required taxes, fees, and charges"
The primary parties at the closing are normally the,title officer and title company attorney,president of the brokerage firm and the real estate agent,title company representative and lender representative,"buyers, sellers, and a closing agent",d,"The primary parties at the closing are normally buyer, seller, and a closing agent or escrow officer. Other parties who might be present include the title officer, attorneys, brokers or agents, and the lender's representative. It is not necessary for any of these parties to attend the meeting. The closing agent can complete the transaction, provided all documents have been duly executed in advance"
"When a closing occurs in escrow, the escrow agent has the authority to",sign all the documents on behalf of the principals in the transaction,disburse funds and release documents to the appropriate parties,inspect the property on behalf of the lender,close the transaction before the loan has been approved,b,"If the closing occurs ""in escrow"" rather than face-to-face, the principal parties deposit funds and documents with the appointed escrow agent, and the escrow agent disburses funds and releases documents to the appropriate parties when all the conditions of the escrow have been met"
A final walk-through of the purchased property should be scheduled and completed by the buyer,within 10 days of loan approval,as close to the closing date as possible,within 24 hours after the closing,as soon as the offer is accepted,b,"The buyer should inspect the property to make certain that the property is in the condition in which the seller states that it is and that any repairs or other required actions have been performed. A final inspection, called a buyer's walk-through, should be conducted as close to the closing date as possible"
"Before transferring the title to the property from the seller to the buyer, ",the title company closing the loan must receive the loan proceeds from the lender,all appliances must be checked and determined to be in working order,the sellers must vacate the property,the title company closing the loan must order an appraisal of the property,a,The buyer’s loan must be approved prior to scheduling the closing.  The loan approval is a contract contingency that must be met prior to scheduling the closing
An affidavit of title is given to the buyer by the seller at closing.  This document indicates that,the seller will repair any damages to the property,the buyer will be responsible for any hidden liens,the seller has not incurred any new liens that would affect title,"the title commitment that has been issued, and the property is ready to close",c,"The seller may be asked to execute an affidavit of title stating that, since the date of the original title search, the seller has incurred no new liens, judgments, unpaid bills for repairs or improvements, no unrecorded deeds or contracts, no bankruptcies or divorces that would affect title or any other defects the seller is aware of"
"At the closing, which of the following parties will be expected to sign documents unless pre-signed prior to closing?",The sellers and buyers,The real estate agents for both sellers and buyers,"The sellers, buyers, attorneys for sellers and buyers, title closer, and any lenders","The powers of attorney for sellers, buyers, lenders, and title company",a,"The sellers and buyers will sign documents, either transferring title to the property or finalizing the mortgage loan to purchase the property.  There may be several other documents that must be signed by the sellers and buyers"
All deeds transferring the property from the seller to the buyer must include the ,new address of seller,list of included personal property,full legal description of property,purchase price,c,The full legal description of the property to be transferred must be included on the deed of transfer
RESPA refers to the,Real Estate Services Procurement Association,Real Estate Settlement Procedures Act,Real Estate Specific Performance Act,Real Estate Special Agency Act,b,RESPA is the Real Estate Settlement Procedures Act
TRID refers to the,TILA RESPA Integrated Disclosure rule,Title Recorder Indemnification Deed,Real Estate Industry Division,TILA Recording ID,a,The TILA RESPA Integrated Disclosure Rule is informally referred to by those involved in the real estate industry as TRID
Which of the following booklets must a lender deliver to the potential borrower within three business days of receiving the loan application?,“Your Home Loan Toolkit”,“Mortgage Loans and You”,“Mortgages Explained”,“The Consumer’s Guide to Mortgage Loans”,a,"This is the booklet, provided and distributed by the Consumer Financial Protection Bureau (CFPB), that lenders must give to the borrower when they apply for a mortgage loan"
The Consumer Financial Protection Bureau (CFPB) was given authority to,supervise and enforce compliance with RESPA and its implementing regulations,enforce all policies that are put into place by the local banking community,monitor all real estate agencies and corporations to ensure compliance with RESPA,prepare the appropriate closing documents when a property is sold,a,The Consumer Financial Protection Bureau (CFPB) is authorized to supervise and enforce compliance with RESPA and its implementing regulations
The closing statement is,a compilation of credits and debits for the buyers and the sellers,a legal document that will be recorded in county records,a legal document that proves that a transfer of title took place,an estimate of required repairs to the property,a,"The closing statement includes all aspects of the financial part of the property transfer.  All fees, costs, charges, sales/purchase price, prorations, and amounts paid outside of closing that relate to the property transfer will be included on the closing statement"
"When applying for a loan, the lender must deliver to the potential borrower a loan estimate that will provide the borrower with",an itemization of estimated settlement costs,the estimated amount of money that the borrower will need to purchase the property,the estimated amount of funds that the lender is willing to lend the borrower,the exact interest rate that the lender will charge,a,The loan estimate is the document required to be delivered to a potential borrower when the loan application is made.  Borrowers may speak with several lenders in order to assess costs and procedures so that an informed decision can be made by them
The Closing Disclosure is a form that is provided by the Consumer Financial Protection Bureau (CFPB) for use at the closing to,report cash transactions to the IRS,disclose a material defect in the property,disclose settlement costs to the buyer,disclose settlement costs to the seller,c,"Under Consumer Financial Protection Bureau (CFPB) rules, a lender must use the Closing Disclosure (H-25) to disclose settlement costs to the buyer. This form covers all costs that the buyer will have to pay at closing, whether to the lender or to other parties"
RESPA involves which of the following types of purchase and sale transactions?,Multi-unit buildings,Commercial properties,Residential properties that are financed by a purchase money mortgage,Residential properties that are financed by a federally related mortgage loan,d,"RESPA is a federal law enacted in 1974 and later revised. It applies to residential properties (4 or less units) financed by a federally related mortgage loan (e.g. FHA, VA, HUD) or intended to be sold to Fannie Mae, Freddie Mac.  It applies to first mortgages only"
"Business relationships and affiliations among real estate firms, mortgage brokers, and title companies involved in a transaction are closely scrutinized since RESPA prohibits:",the buyer’s agent from recommending a home inspector,the seller’s agent from recommending a title company,the buyer or seller agents from suggesting an attorney,the payment of referral fees by a lender to a real estate agent,d,"RESPA prohibits kickbacks, fees, gifts, and other unearned items unless the payment of such is for work actually performed.  An example would be a payment by a lender to a real estate agent for referring a client to that lender"
The payment of real estate taxes that are owed but not yet due is expressed on a closing statement as a ,credit to buyer and debit to seller,credit to seller and debit to buyer,credit to seller,credit to buyer,a,"Assuming the seller “owns” the day of closing, the seller owes real estate taxes up to and including the day of closing.  If the taxes have not yet been billed, the seller must give a credit to the buyer at closing so that the buyer will have the funds to pay those taxes on behalf of the seller when the bill is issued.  Therefore, the seller gives a credit to the buyer in the amount of taxes due by the seller.  A debit in the same amount will be shown on the seller side of the closing statement"
"The document that will indicate the procedures for closing, and identify responsibility for certain closing costs is known as the ",proration letter,sales contract,letter of intent,inspection report,b,"The sales contract is the document that sets forth the agreement between the buyers and sellers and indicates, among other information, purchase price, closing date, approximate loan terms, credits to be given, real estate tax information, and proration procedures"
