Question,A,B,C,D,Correct Answer,Feedback / Explanation
"A broker was paid 6% commission on the first $60,000 of a sale price and 4% for everything above that. What would the sale price be if the total commission was $4,375?","$98,500","$60,000","$79,375","$19,375","C. $79,375","To solve this, first find the commission made by the broker (6% or .06) up to $60,000 and subtract that from the total commission ($4,375), then divide by the remaining commission percentage (4% or .04) to find the amount paid at that rate. Finally, add that number to $60,000 to get the total selling price.
 
 .06 x $60,000 = $3,600
 $4,375 - $3,600 = $775
 $775 ÷ .04 = $19,375
 $19,375 + $60,000 = $79,375
 
 The total sale price was $79,375."
"A property sells for $495,000, which represents a 10% profit for the owner. What was the original cost of the property?","$400,000","$550,000","$450,000","$405,000","C. $450,000","The selling price of a property is 100% of the original cost plus 10% of the original cost (the profit), so the selling price actually equals 110% of the original cost of the property. Convert 110% to decimal form, which is 1.10 (move the decimal 2 places to the left). Finally, divide the sales price by that number to get the answer:
 
 $495,000 ÷ 1.10 = $450,000"
"Calder's Construction Company built a home in a new subdivision. It sold 6 months later for $48,500. This amount reflected a depreciation of 3%. Knowing this, what was the original asking price on the home?","$51,500","$48,500","$53,000","$50,000","D. $50,000","To figure this out, take the sale price and divide it by 97% (or .97), which is the amount remaining after 3% depreciation:
 $48,500 ÷ .97 = $50,000"
"Joe's duplex has depreciated 3% per year for the 5 years he has owned it. Since the building originally cost $20,000, what is the current value of the duplex?","$17,000","$16,000","$15,000","$18,500","A. $17,000","To figure this out, first figure out the total depreciation:
 3% x 5 years = 15%
 
 Next, multiply that by the original cost:
 $20,000 x 15% = $3,000
 
 Finally, subtract that amount from the original cost to find the current value:
 $20,000 - $3,000 = $17,000
 
 NOTE - Most appraisal and assessment methods use straight-line depreciation, which means it doesn't compound annually. That's why we use 3% x 5 years = 15% when determining the amount of depreciation."
"If Skylar's property has a net income of $5,480, and returns 8 percent annually on the investment, then what is her property's value?","$68,000","$70,000","$72,500","$68,500","D. $68,500","The formula for finding a property's value when you have the net operating income and cap rate is:
 
 Current Market Value (CMV) = Net Operating Income (NOI) ÷ Cap Rate
 CMV = $5,480 ÷ .08 (8% in decimal form)
 CMV = $68,500"
"An individual borrowed $7,000 on a straight note at 9% interest. If the total interest paid on the note was $945, what was the term of the loan?",20 months,12 months,16 months,18 months,D. 18 months,"9% of $7,000 is $630 interest per year. $945 divided by $630 equals 1.5 years (1.5 years = 18 months)."
"If the capitalization rate on a building that produces a $20,000 annual income is 10 percent, what is the estimated value of the building?","$200,000","$222,200","$220,000","$22,000","A. $200,000","Remember, the interest rate into the income equals the investment, so you can use this here in a slightly different equation. $20,000/.10 (the rate) = $200,000."
"Bailey Broker leases a property to Susie Smiley for 5 years. Bailey will receive a 5% commission based on the annual rent. The rent for the property is $3000 per month for the first year, with a $100 increase to the monthly payment each succeeding year. Knowing this, what will Bailey's commission be for the full 5-year period?","$2,100","$4,800","$9,600","$16,000","C. $9,600","To solve this problem, you must figure out the monthly rent for each of the 5 years, multiply that by 12 to find total rent for the 5-year period, then add those together and multiply that sum by 5% to arrive at the commission.
 
 $3,000 x 12 = $36,000
 $3,100 x 12 = $37,200
 $3,200 x 12 = $38,400
 $3,300 x 12 = $39,600
 $3,400 x 12 = $40,800
 
 Add the annual rent for each year to get a total of $192,000 in rent.
 Multiply $192,000 x 0.05 to get a commission of $9,600."
"John and Sandi Samson, who file a joint income tax return, pay 28 percent income tax on their earnings. If they have an $85,000 mortgage at 8 percent interest, their allowable tax savings would be:","$1,904",$190.40,$680,"$6,800","A. $1,904","To solve this problem, first multiply the mortgage by the interest to arrive at the annual interest. ($85,000 x .08 = $6,800) Next, multiply this number by the tax bracket to arrive at the savings. $6,800 x 28% = $1,904."
"A house is appraised for $25,000, and shows an assessed value of $20,000. The taxes on the house are $300 annually. What would the tax be on a house that is appraised at $45,000, with an assessed value of $40,000?",$600,$150,$300,$750,A. $600,"To solve this problem, first figure out the levy percentage by dividing the tax amount by the assessed value (of the first house), and then multiply that number by $40,000 (the value of the second house). So, $300/$20,000=.015 mill levy. Then $40,000 x .015 = $600."
"What is the selling price of a property if the seller paid $3500 for taxes due, has a $125,000 mortgage, paid a 6% broker commission, and netted $70,000 on the sale?","$202,700.12","$210,410","$198,500","$211,170.21","D. $211,170.21","To arrive at this answer, start by adding the taxes, mortgage, and profit from the sale:
 $3500 + $125,000 + $70,000 = $198,500
 
 This number is equal to 94% of the selling price, with the broker's 6% commission equalling the rest (94% + 6% commission = 100% sales price). To find the full selling price, divide $198,500 by .94 (which is the same as 94%) to find the total:
 $198,500 ÷ .94 = $211,170.21"
"A building that cost $300,000 to construct 10 years ago has depreciated 25%. The land costs $51,000, so the appraised value is:","$265,000","$263,250","$300,000","$276,000","D. $276,000","$300,000 x 25% (depreciation) = $75,000. Then subtract that from $300,000 for a total of $225,000, and add $51,000 for a total appraised value of $276,000."
"An office building earns $850,000 per year, and expenses are 35% of that amount. If the property is capitalized at 12%, what is its approximate value?","$5,243,167","$6,545,722","$4,506,789","$4,604,167","D. $4,604,167","To solve this, first find out the amount spent on expenses (remember that 35% can be expressed as .35):
 $850,000 x .35 = $297,500
 
 Now, subtract that amount from the total:
 $850,000 - $297,500 = $552,500
 
 To reach the final answer, divide the net revenue by the capitalization rate (remember that 12% can be expressed as .12):
 $552,500 ÷ .12 = $4,604,167"
"A house sold for $95,000 with a sales commission rate of 7.5%. The listing broker received 50% of the total commission and the selling broker received 50%. How much would the selling salesperson receive if the selling broker kept 60% and gave 40% to the salesperson?","$3,562","$7,125","$1,425","$2,137","C. $1,425","With total commissions of $7,125, the selling and listing broker each receive $3,562.50. At 40% of the selling broker's share ($3,562.50), the selling salesperson would receive $3,562.50 x .4 = $1,425.
 
 Although the names sound similar, a selling agent is vastly different from a seller's agent. While a listing agent takes care of selling the property, a selling broker represents the interest of the buyer. This type of real estate agent learns about what buyers are looking for and then help match them with properties."
"An owner of a six-family apartment complex pays the property manager an annual salary equal to 12% of the property's annual gross income. If the annual gross income is $ 140,000, the annual expenses are $65,000 and the capitalization rate is 10%, what is the property manager's annual salary?","$750,000","$16,800","$8,700","$7,500","B. $16,800","This question is full of red herrings. The only figures that count are the gross annual income of $140,000 and the property manager's salary of 12% of GAI, which yields annual compensation of $16,800."
"What is the cubic footage of a driveway that measures 60 feet long, 8 feet wide, and is 3 inches deep?",120 cubic feet,160 cubic feet,90 cubic feet,480 cubic feet,A. 120 cubic feet,"To find out the total cubic footage, multiply the length, width and depth. Keep in mind that 3 inches is the same as 1/4 of a foot:
 60 ft. x 8 ft. x 1/4 ft. = 120 cubic feet
 
 On a calculator, this looks like:
 60 x 8 ÷ 4 = 120 cubic feet"
"If the assessed valuation of a property is $20,000, with a tax rate of $4.00 per $100, what is the annual tax?",$460,$200,$800,$660,C. $800,"Remember that the $4.00 per $100 means that the $20,000 must be divided by 100, giving a total of $200. That, multiplied by $4.00 gives the total tax of $800."
$140 is 3.5% of what amount?,"$4,100","$4,440",$440,"$4,000","D. $4,000","Remember to always divide to find the value or rate, so in this case, $140/.035 = $4,000."
"If Jamie's quarterly interest payments are $150 on a $12,000 loan, then what is her annual interest rate?",5%,7%,6%,6.50%,A. 5%,"To figure out a percentage, divide the interest by the investment. So, $150 x 4 (quarters a year) = $600, and $600/$12,000 = 5%"
"If an investment valued at $350,000 returns 12 percent annually, then what is the amount of income produced by this investment?","$4,200","$39,200","$3,920","$42,000","D. $42,000","Remember, take the value multiplied by the return to equal the income. So, in this case: $350,000 x 12% = $42,000"
"Madison Davidson negotiated for a $30,000 loan with $400 monthly payments and a 9 percent interest charge. What is her first month's interest payment?",$425,$450,$205,$225,D. $225,"First, multiply $30,000 by .09 (same as 9%) to find the total annual interest paid- $2,700. Divide $2,700 by 12 (number of months in a year) to get the interest payment of $225 for the first month."
"If a home appraised for $93,000, and Mr. Nickel, the borrower, puts 20% down, what would his loan amount be?","$91,400","$74,500","$91,500","$74,400","D. $74,400","To arrive at the loan amount, take the $93,000 appraisal amount and multiply that by 80% (loan needed) for a total loan amount of $74,400."
"Wayne Goodspeed falls in love with a house and buys it for 5% more than the appraised value. He secures a loan for $220,000, which represents the appraised value minus a 10% down payment. What was the purchase price, and how much did Wayne have to come up with in cash?","$256,666 / $36,666","$244,444 / $44,444","$256,666 / $44,444","$244,444 / $36,666","A. $256,666 / $36,666","The purchase price is $256,666. The total amount in cash Wayne needed to come up with is $36,666.
 
 Step 1, find the appraised value - $220,000 divided by 90% = 244,444.44
 Step 2, find the purchase price - $244,444.44 X 105% = $256,666.67
 Step 3, find the down payment - $256,666.67 minus $220,000 = $36,666
 
 While it's not recommended to pay more than the appraised value of a home, it can be done as long as the buyer doesn't mind coming up with extra cash."
