Question,A,B,C,D,Correct Answer,Feedback / Explanation
One of the main benefits of a sale-leaseback transaction would be:,The ability of the seller to deduct all of his future rent payments as business expenditures.,The ability to maintain the book value by the new buyer.,The purchaser has the option to lease the property back after the termination of the lease.,The purchaser can get the deposit back with no objection.,A,"In a sale-leaseback, the seller becomes a tenant and can deduct future rent payments as a business expense. Mostly used in commercial real estate."
When a counteroffer is made:,The original offer becomes a unilateral offer.,The offeree becomes the offeror.,It is considered a partial acceptance of the original offer.,The original offeror cannot amend his terms.,B,A counteroffer terminates the original offer; the offeree becomes the new offeror.
None of the following automatically terminates an offer to buy real property except:,Revocation of the offer by the offeree.,Rejection of the offer by the offeree.,An inquiry by the offeree as to whether the offeror will accept different terms.,Rejection of the offer by the offeror.,B,Only rejection by the offeree automatically terminates the offer.
"In a listing, which clause will allow a broker to collect a commission for a specified period of time after the listing term has expired?",Release Clause,Delay Pay Clause,Acceleration Clause,Protection Period Clause,D,"Also called a safety clause, allows the broker to earn commission for deals closed after the listing term."
"Broker A took an exclusive listing, then made an oral agreement with broker B to share the commission if B found a buyer. Broker B procured an offer. If A refused to share:",He does not need to share due to the Statute of Frauds.,Broker B would stand a good chance of winning a court suit.,Broker B could petition the real estate commission.,He does not need to share because it was an open listing.,B,Oral agreements can be enforceable if broker B procured the buyer. A court may order A to share the commission.
The duration of a listing agreement is:,6 months,90 days,Whatever is negotiated between the broker and seller,Whatever is negotiated between the seller and the buyer,C,Duration is set by mutual agreement between broker and seller.
Which is created when possession and title do not occur at the same time?,Interim Occupancy Agreement,Estate at Sufferance,Writ of execution,Subordination clause,A,Interim Occupancy Agreement allows possession before title transfer.
Which statement about options is false?,The option binds the optionee to performance,Consideration must be given by optionee to optionor,A lease option is a unilateral contract,The optionee does not have any rights in the land,A,False: Optionee is not obligated to buy; they have the choice to exercise the option.
An Option:,Requires the optionee to complete the purchase,Results in a commission to broker if not exercised,Gives the buyer a lien on the property,Keeps an offer open for a specified period,D,An option keeps the offer open for a specific period; the buyer is not obligated to purchase.
A safety clause is found in a:,Loan broker's statement,Lease,Listing agreement,Deposit receipt,C,Safety/protection clause is included in listing agreements to allow commission after expiration.
"According to the Statute of Frauds, a contract which must be in writing is:",Employment of a business opportunity to sell stock,Any real estate agreement not to be performed within one year,Employment of a broker to exchange leases,Bill of sale on real property,B,Statute of Frauds requires certain contracts (like real estate not performed within 1 year) to be in writing.
"If a person obtains a contract through duress, that contract is:",Unenforceable,Voidable,Valid,Void,B,Contracts under duress are voidable; the party can choose to enforce or rescind.
"All of the following are essentials of each contract, except:",Capable parties,Proper writing,Lawful object,Mutual consent,B,"Proper writing is not always required; essentials are mutual consent, lawful object, capable parties, and consideration."
The law that requires real estate contracts to be in writing is:,Law of descent and distribution,Statute of Frauds,Parole evidence rule,Statute of limitations,B,"Statute of Frauds requires certain contracts, especially real estate, to be in writing."
To "assign" a contract means to:,Permit another broker to act as agent,Allow seller and buyer to exchange positions,Transfer one's rights under the contract,Record the contract,C,Assignment transfers rights and obligations to another party (assignee).
Listing where owner sets price and broker keeps anything above it:,Open listing,Non-exclusive listing,Net listing,Gross listing,C,Net listings allow broker to keep amount above seller's minimum; illegal in many states due to conflicts of interest.
