Question,A,B,C,D,Correct Answer,Feedback / Explanation
The main purpose of "RESPA" (Real Estate Settlement Procedures Act) is to:,provide consumers with enough information to enable them to shop for settlement services.,place a fixed limit on settlement costs in all real estate transactions.,standardize settlement services throughout the United States.,place a fixed limit on settlement costs on residential property of four units or less.,A,"RESPA applies to one to four family residential dwellings. It is primarily there to provide consumers with enough information to enable them to shop for settlement services. It requires lenders to disclose closing costs, lender servicing and escrow account practices, and any business relationships between closing service providers and other parties to the transaction."
"Under the Federal Truth-in-Lending Act, two of the most critical facts which must be disclosed to borrowers are:",the installment payments and cancellation rights.,the carrying charge and advertising expense.,the duration of the contract and discount rate.,the finance charge and annual percentage rate.,D,The Truth-In-Lending Act was designed to protect borrowers by requiring lenders to make a meaningful disclosure of credit terms to the borrower.
"A real estate broker, acting as agent for a landlord, has the following instructions: 1. Collect a larger deposit from single men than from single women; and 2. Advertise only by encouraging existing, predominantly white tenants to solicit prospective tenants from among their friends. Which of these instructions is prohibited by the Federal Fair Housing Act?",Neither,Instruction 1 only,Both,Instruction 2 only,C,"Using gender or race as qualifying factors in housing is discriminatory, and both are prohibited by the Federal Fair Housing Act."
"Bill offered to buy Sarah's house... According to fair housing laws, which of the following parties is not guilty of discrimination?",Sarah,The neighbor,Harry,The agent,C,"In a situation like this, Harry could not have been party to discrimination because he only submitted an offer. The guilty parties in discrimination tend to be those who use race (or another protected class) when making a decision on whose offer to accept."
In which of the following years did the U.S. Supreme Court prohibit all racial discrimination when real property is sold or rented?,1976,1968,1963,1972,B,"Jones v. Mayer The U.S. Supreme Court, utilizing the Thirteenth (13th) Amendment as the basis for its decision, upheld anti-discrimination laws as Constitutional in 1968."
"In assessing the profitability of a real estate office, the broker must consider ""desk cost."" Which answer best describes how to calculate desk cost?","Divide the total operating expenses of the office, including salaries, rent, insurance, etc., by the number of salespersons","Calculate the gross profit for the office, less the expenses, and divide by the number of salespersons","Divide the total cost of rent, utilities, and advertising by the number of salespersons",Calculate the cost of all the desks,A,Desk cost is the total operating expenses of a brokerage or branch office divided by the total number of licensees in that same office.
A broker who holds a valid listing places a classified ad... This type of advertisement would be an example of a:,display ad.,qualified ad.,silent ad.,blind ad.,D,"Blind Advertising is any real estate advertisement that does not properly identify the broker. When advertising real property as an agent, a salesperson must always remember to include the employing broker's name in the advertisement."
Broker Kiki took a listing... Which of the following describes the above as a possible violation of Real Estate law?,False statement regarding a real property security,False Promise,Misrepresentation,Acting for more than one party in a transaction without consent of all parties,C,"Misrepresentation occurs when there is obvious knowledge of a certain fact which caused a buyer to enter into a contract. An example of misrepresentation would be claiming that there is no expense on income property, which would be fraudulent misrepresentation."
Stephen Douglas has been burning leaves... That court order would be called:,a variance,a lis pendens.,an injunction.,a writ of habeas corpus.,C,"Injunctions are a court order to stop or prevent certain action(s) by certain individual(s) or entities. For example, an injunction could be sought by members of a subdivision of residential homes to order someone to stop burning leaves."
"When a broker hires a salesperson under a valid independent contractor agreement, which of the following is correct:",Broker may be held liable for the salesperson's conduct in a real estate transaction;,Broker must pay State Unemployment Insurance premiums for the salesperson.,Broker may set the salesperson's office hours and assign floor time;,Any unlicensed assistant of the salesperson must be an employee of the broker;,A,"A Broker must oversee the work of any Salesperson(s) even if the Salespersons acts as a independent contractor. A Broker must assume a supervisory role over these individuals, because the Broker is still liable for a Salesperson's conduct. The broker must pay Workers Compensation insurance."
