Question,A,B,C,D,Correct Answer,Feedback / Explanation
"When land is surveyed, the description should contain:",the area contained within the described boundaries expressed in accepted units of measure.,a specific length and direction of the sides of the property.,all of the items listed in the other answers.,the corners of the property.,C,"All of the options should be contained in a survey. A land survey is a measurement of a specific parcel of land to ascertain area, corners, boundaries, topography, and divisions with distances and directions of such parcel."
Which of the following is the best definition of a "commercial acre":,An acre minus property that has been sold,"The building portion of an acre after deductions for streets, curbs and sidewalks.",An acre minus all residential property,An acre after deducting parking,B,"Commercial Acre: Also referred to as a Buildable Acre, this is the portion of land left that can be built minus the streets, sidewalks, curbs, etc."
"An appraiser is appraising a single-family residence, and notices an abandoned gas station next door. The appraiser would logically recommend which of the following:",A soils report by a civil engineer,Rezoning of the property,A structural pest control report,A toxic waste report from the EPA,D,"A toxic waste report may be demanded in instances where a gas station has been abandoned nearby. If the results are depreciative, this is Economic Obsolescence."
An expensive home that later became surrounded by cheaper homes would suffer a loss in property value attributable to:,Physical Deterioration,Economic Obsolescence,Functional Obsolescence,Residential Obsolescence,B,"Economic obsolescence is depreciation caused by factors outside the property lines, like surrounding cheaper homes."
Economic obsolescence might be attributed to each of the following except:,no air conditioning in a commercial building in a warm climate.,oversupply of similar properties.,the proximity of obnoxious nuisances.,an expensive home that later became surrounded by cheaper homes.,A,"Lack of air conditioning is not economic obsolescence, but physical or functional obsolescence. The other options are external/economic factors."
Which of the following types of depreciation would be the most difficult to cure?,Economic Obsolescence,Physical Deterioration,Functional Obsolescence,Residential Deterioration,A,"Economic obsolescence is most difficult to cure because it is due to external causes, outside of the property owner’s control."
Alicia and Joe built two homes at the same time… value of Joe’s property is way higher. One reason could be because Alicia’s property experienced:,external obsolescence.,physical deterioration.,economic obsolescence.,functional obsolescence.,D,Functional obsolescence occurs from poor design. Economic/external would affect both properties equally.
"When an appraiser is considering the economic life and the physical life of a building, the economic life is usually:",It is impossible to tell,Longer,Shorter,The same,C,"Economic life is the profitable life span of a property, usually shorter than physical life."
A "loss in value from any cause" is a common definition of:,depreciation.,economic obsolescence.,adverse leverage.,principle of contribution.,A,"Depreciation = loss of value due to physical, functional, or economic factors."
"In the capitalization method of appraising, the most difficult step is to:",select a capitalization rate.,establish the net income.,establish the gross income.,establish the effective gross income.,A,"Selecting the cap rate is most difficult because it involves risk, return, and market factors."
Which of the following is not a proper charge in determining net income for capitalization purposes:,Vacancy and collection losses,Maintenance expenses,Mortgage interest,Management agents fees,C,Mortgage interest is not deducted when calculating net income for capitalization.
Which of the following approaches converts income into value?,Market data method,Capitalization Approach,Economic approach,Cost approach,B,Capitalization approach converts income into value.
Which of the Methods could be used by Appraisers for estimating the cost of Construction:,All of the other options are correct,Square Footage Method,Quantity Survey Method,Unit-in-Place Method,A,"All listed methods are used: Unit-in-Place, Square Footage, and Quantity Survey."
Which method would an appraiser be most likely to use when appraising a newly built (1-year-old) apartment building with no rental history?,Capitalization approach,Cost approach,Income approach,Market approach,B,"Cost approach is used when no income history exists, like new properties."
If an appraiser is appraising a special purpose property he would probably use the:,Market data approach,Cost approach,Land residual approach,Income approach,B,Special purpose properties like schools/libraries use cost approach.
The effectiveness of the market data approach would be limited most by:,Types of property that are regularly sold.,The differences in the comparable property.,The financing terms of comparable property.,Economic conditions that rapidly change.,D,Market data is least reliable during rapid economic changes.
When is the market data approach considered unreliable?,When the market is inactive,When there is nothing similar to the subject property,During times of rapid economic change,All reasons provided make this approach unreliable,D,The approach becomes unreliable under all these conditions.
What is the basis of the market data approach to appraisal?,The principle of supply and demand,The principle of conformity,The principle of substitution,The principle of highest and best use,C,Market data is based on substitution: buyers choose the lowest-priced comparable property.
Appreciation would be best defined as an:,increase of money over time.,increase of wealth over time.,increase of value over time.,increase of land over time.,C,Appreciation = increase in value over time.
"Jane saw a property at $900,000, then found similar for $600,000. This would be the principle of:",contribution.,substitution.,progression.,regression.,B,Substitution principle: no one pays more if a similar alternative costs less.
What would be most important to an appraiser in assessing the value of a vacant lot?,What the taxes would be,Highest and best use,How much the land has depreciated,Market value,B,Highest and best use is the primary consideration for vacant land.
Which of the following is not one of the four important elements of value:,Scarcity,Utility,Transferability,Appreciation,D,"The four essential elements are: Scarcity, Transferability, Utility, Demand (STUD)."
The general term "value" means:,The average use and function of an object to all people,The function of an object,A good buy,"The worth, usefulness, or utility of an object to someone for some purpose",D,"Value = worth, usefulness, or utility to someone for some purpose."
Definitions of market value are least concerned with:,Market cost,Open Market,Objective value,Value in exchange,A,"Market value concerns open market, value in exchange, objective value. Market cost is least relevant."
Which of the following factors contributes most to the maintenance of value in a well-planned residential community:,Deed restrictions,Variances for highest and best use,Prevention of major street construction,Conformity to proper land use objectives,D,Conformity to proper land use objectives maintains community value.
Where in a standard narrative appraisal report would one likely find the type of value being estimated:,The property description,The neighborhood analysis,The statement of purpose,The declaration of restrictions,C,The type of value is found in the statement of purpose.
"Property should be valued at its highest and best use. If an appraiser is appraising a parcel with a useless building, he should:",ignore the building,deduct the demolition cost,establish value by cost approach,add the salvage value,B,Deduct demolition costs when the building is no longer valuable.
The most accurate determination of the age of a house can be made by inspecting the:,Architectural style,Recorded subdivision map,Tax assessor's records,Physical condition,C,Tax assessor’s records provide the most accurate build date.
An appraiser is usually paid:,a fee agreed upon after completion,a standard fee set by association,a fee based on % of value,a fee based on time and effort,D,"Appraisers are paid based on time and effort, not value."
The appraisal approach most likely to be used in valuing a public library building would be:,Cost approach,Income approach,Residual comparison approach,Market data approach,A,Cost approach is used for special purpose properties like libraries.
Usefulness of the cost approach would be limited when:,an appraiser is appraising a new structure appropriate to its site and use.,there exists an unusually inactive real estate market.,appraising an old structure with many functional deficiencies.,appraising for proposed construction.,C,"The cost approach is most appropriate for new buildings, not old. Limited usefulness applies to older structures with deficiencies."
An appraiser who uses improper methods to appraise a property for a government backed loan may be guilty of:,Violating real estate licensing law,A warning,A felony,A misdemeanor,C,The Appraiser must utilize proper methodology on government-backed loans or be guilty of a felony.
An appraiser's primary concern when analyzing residential property is:,Functional utility,Square foot area,Operating and fixed expenses,Marketability and acceptability,D,Primary concern is marketability and acceptability of a property.
The most comprehensive and complete appraisal report is the:,Narrative report,Oral form report,Letter form report,Certificate report,A,"Narrative report is the most comprehensive, containing methods and conclusions."
What is a fee appraiser:,An appraiser that works for a federally insured lender,An independent appraiser who works on a fee basis,A certified appraiser who works on salary,An appraiser who works for a lending institution,B,A Fee Appraiser is independent and charges per appraisal.
Pool effect in Madison vs Yuma (greater in Yuma) is an example of:,Principle of highest and best use,Principle of substitution,Principle of contribution,Principle of regression,C,Contribution: value depends on how much it adds to net income.
Property values increase due to population increase is:,Plottage,Highest and best use,Leverage,An unearned increment,D,Unearned increment: value increase from external forces like population growth.
Unit of comparison in market data approach for a single-family residence is:,Cubic foot,Entire property,Square foot,Capitalization rate,B,Market Data Approach uses entire property as the unit of comparison.
Comparable has a feature not in subject property → value of that feature is:,Added to subject price,Subtracted from comparables,Identified but ignored,Ignored completely,B,Subtract from comparables to equalize with subject property.
Most commonly used appraisal approach by licensees:,Income,Residential,Market Data,Cost replacement,C,Licensees most often use Market Data for homes and lots.
Differences between comparables & subject are handled how?,Subject adjusted to comparables,Comparables adjusted to average,Subject values averaged,Comparables adjusted to subject,D,Always adjust comparables to reflect the subject property.
Approach that sets the upper limit of value:,Replacement,Comparable sales,Income,Market comparison,A,Cost replacement sets upper value limit.
Replacement cost refers to:,Replace with exact replica,Replace with same utility,Replace with best-use design,Original cost,B,"Replacement cost = same utility, not identical replica."
Approach most used in restaurant appraisal:,Cost,Market data,Summation,Income,D,"Restaurants are income-producing, so income approach applies."
25-year-old building in condition of 11-year-old → this is:,Effective age,Actual age,Numerical age,Physical age,A,"Effective age = age based on condition, not actual years."
Not a cause of obsolescence:,Wear and tear,Misplaced improvements,Obsolete equipment,Change of flight pattern,A,"Wear and tear = physical deterioration, not obsolescence."
Economic obsolescence occurs because of:,Poor design in the property,Factors extraneous to the property,Out-of-date heating system,Wear and tear,B,Economic obsolescence = caused by external factors.
Change in flight patterns causing value loss =,Functional obsolescence,Physical deterioration,Economic obsolescence,Aviation obsolescence,C,Flight path change is external → economic obsolescence.
Example of economic obsolescence:,Oversupply of like properties,Old heating system,Leaky roof,Outdated room design,A,External oversupply depresses value = economic obsolescence.
Major cause of loss in real property value:,Old age,Obsolescence,Wear and tear,Deferred maintenance,B,Obsolescence is the primary cause of depreciation.
Approach most concerned with present worth of future benefits:,Income,Cost,Market data,Summation,A,Income approach emphasizes present worth of future income.
Buyer offering $500k for 10-unit apartments like others is operating on:,Increasing returns,Highest and best use,Conformity,Substitution,D,Substitution = won’t pay more than comparable alternatives.
"""Effective age"" refers to:",Years since improvements made,Total life of improvement,Age based on condition,Years yielding return,C,"Effective age = based on condition, not chronology."
Expensive house appreciated less than neighbors → principle of:,Diminishing return,Substitution,Change,Regression,D,Regression = value of expensive property pulled down by neighbors.
Adjustments in comparison approach apply to:,Subject property,Comparable properties,Both,Current listings,B,"Adjust comparables, not the subject property."
Income capitalization approach most important for:,Single-family home,Office building,Condominium,Vacant lot,B,"Office buildings are income-producing, so income approach applies."
Approach requiring separate land/improvement values:,Gross rent multiplier,Sales comparison,Cost approach,Income capitalization,C,Cost approach requires separate land value.
1920s garage too small by modern standards =,Functional obsolescence,Physical obsolescence,Economic obsolescence,Area obsolescence,A,Functional obsolescence = outdated by current standards.
$90k house in $22k–$30k neighborhood suffers:,No depreciation,Functional obsolescence,Physical depreciation,Economic obsolescence,D,Surrounded by cheaper homes = economic obsolescence.
Why buyers purchase using market data approach:,Buyers compare houses,Buyers use construction cost,Buyers base on income,Buyers buy on impulse,A,Buyers compare recent sales of similar homes = market data approach.
Which principle states that "a person will not pay more for one property than another equally desirable?",The principle of laissez-faire,The principle of price conformity,The principle of fair distribution,The principle of substitution,D,Substitution is the basis of pricing; no one pays more if a substitute exists.
A real estate appraisal is limited to what period of time?,A given date,For the financing period,Until the next appraisal,A given year,A,Appraisal value is valid as of a specific date; lenders usually accept 2–6 months.
A section:,is one square mile.,"has a perimeter of 5,280 sq ft.",is 460 acres.,can be numbered 1–50.,A,A section = 1 square mile = 640 acres.
A board-foot is:,144 cubic inches,44 cubic inches,122 cubic inches,12 cubic inches,A,A board-foot = 12 × 12 × 1 = 144 cubic inches.
Market data approach effectiveness is limited most by:,Types of property sold,Financing terms,Differences in comparables,Economic conditions that rapidly change,D,Market data is unreliable during rapid economic change.
Dirk’s mansion devalued by cheap neighbors illustrates:,Principle of contribution,Principle of supply/demand,Principle of regression,Principle of progression,C,Regression: better property loses value from inferior surrounding properties.
Which basic economic characteristic best explains why real estate has value?,Nearness to high-rent areas,Speculative gain prospects,High cost of replacement,Maximum utilization of available resources,D,"Value = highest and best use, maximizing resources."
Cost approach is most appropriate for:,Multi-family property,New property,Middle-aged property,Old property,B,Cost approach suits new properties where construction cost is known.
Unearned increment in value most likely comes from:,Capital improvements,Increase in amenities,Management expense,Increase in population,D,"Unearned increment = value rise without owner’s effort, e.g., population growth."
A bearing wall in a home:,Stronger members than interior walls,Usually left intact during remodeling,All of the other options are correct,May be at any angle to a doorway,C,"Bearing walls support loads, remain in remodeling, and can be angled."
A "real estate appraisal" is an estimate of value:,Based on analysis of fact as of a specific date,Based on replacement costs,From average tax assessments over 5 years,From 6 months’ income data,A,"Appraisal = estimate as of a specific date, based on facts gathered."
Building position on site relative to surroundings is called:,Elevation,Plottage,Topography,Orientation,D,Orientation = relationship of building to site and surroundings.
Expressing anticipated future benefits in $ and discounting to present worth is:,Comparable,Deduction,Capitalization,Cost,C,Capitalization converts future income into present value.
Most useful question for determining economic obsolescence in commercial property:,Rental schedule fair?,Can building operate efficiently?,Are tenants in neighborhood prospering?,Should fire escape be installed?,C,Prosperity of surrounding tenants shows external economic conditions.
Loss in value due to economic obsolescence is best shown by:,Change in nearby zoning,Poor management,Declining design popularity,Demand for larger units,A,Economic obsolescence comes from external factors like zoning changes.
