Question,A,B,C,D,Correct Answer,Feedback / Explanation
Unlicensed persons performing real estate activities could be found guilty of a ,felony and be fined or jailed or both,misdemeanor and be fined or jailed or both,misdemeanor and be either fined or jailed,felony and be jailed for no more than 90 days,b,"Any unlicensed person who performs any activity that requires a license can be found guilty of a misdemeanor and fined up to $500, sentenced to 6 months in jail, or both"
A broker with a minimum of twenty-five (25) years of licensure and an experience-based partial continuing education waiver ,has no mandatory biennial course requirement to maintain active licensure,is required to complete only four hours of elective courses biennially to maintain active licensure,is required to complete only the mandatory four-hour core course biennially to maintain active licensure,is required to complete six hours of elective courses biennially to maintain active licensure,c,A broker with a minimum of 25 years of licensure and an experience-based partial continuing education waiver is required to complete only the mandatory four-hour core course biennially to maintain active licensure
Which of the following statements is most accurate for an applicant who meets all other criteria for licensing?,The applicant will be licensed but the license will be placed in “inactive” status until that new licensee can activate under a supervising in-charge licensee,The applicant will not be licensed until a supervising in-charge licensee is secured,The applicant will be licensed as "pre-active” status until that new licensee can activate under a supervising in-charge licensee,The applicant will be licensed as “inactive” status until the Commission appoints a supervising in-charge licensee,a,An applicant who meets all other criteria for licensing will be licensed but the license will be placed in “inactive” status until that new licensee can activate under a supervising in-charge licensee
"In order to avoid license cancellation in South Carolina, what actions must a resident licensee who becomes a nonresident take?",Notify the real  estate commission of the accepting state of active status,Notify the real  estate commission of the accepting state of inactive status,"Notify the Commission in writing, within sixty (60) days of the change in residency and comply with nonresident requirements","Notify the Commission in writing, within thirty (30) days of the change in residency and comply with nonresident requirements",d,"In order to avoid license cancellation in South Carolina, a resident licensee who becomes a nonresident must notify the Commission in writing within thirty (30) days of the change in residency and comply with nonresident requirements"
What is the maximum period of time that any licensee may choose to place a license on inactive status? ,2 years,5 years,8 years,Indefinite period of time,d,A licensee can place a license on inactive status for an indefinite period of time
Which statement is true about the 2-year renewal cycle for South Carolina licensees?,Approximately one half of the licensees must renew in even numbered years and the remainder in odd numbered years,All licensees must renew in even numbered years,All licensees must renew in odd numbered years,All licensees must renew on their initial license application anniversary date,a,South Carolina licenses are valid for two years. Approximately one-half of the licensees must renew in even-numbered years and the remainder in odd-numbered years
Which of the following statements is most accurate?,"A resident licensee may pay a referral fee on a cooperative basis to a brokerage of another state, provided that out-of-state broker is on inactive status in South Carolina","A resident licensee may pay a referral fee on a cooperative basis to a brokerage of another state, provided that out-of-state broker does not conduct brokerage services in South Carolina",A resident licensee may not pay a referral fee on a cooperative basis to a brokerage of another state,"A resident licensee may pay a referral fee on a cooperative basis to a brokerage of another state, provided that out-of-state broker had previously held a South Carolina license",b,"A resident licensee may pay a referral fee on a cooperative basis to a brokerage of another state, provided that out-of-state broker does not conduct brokerage services (including having a place of business) in South Carolina"
A nonresident licensee is ,"required to maintain a place of business in South Carolina, if the nonresident expects to receive any compensation or referral fees from transactions conducted within South Carolina","required to maintain a place of business in both South Carolina and the state of residency, if the nonresident expects to receive any compensation or referral fees from transactions conducted within South Carolina","not required to maintain a place of business in South Carolina, if the nonresident maintains an active place of business in the state of residence","not allowed to receive any compensation or referral fees from transactions conducted in South Carolina, unless reciprocity is acknowledge by the both states",c,A nonresident licensee is not required to maintain a place of business in South Carolina if the nonresident maintains an active place of business in the state of residence. This is a common practice for towns near the border of the state
"Broker James had his license revoked on January 3, 2027. On which of the following dates would his license application be accepted for review?",1/3/2028,1/30/2028,1/3/2029,1/3/2030,d,"After having a license revoked, a person may not reapply for three years from the date of revocation"
"Applicant Mary successfully completes her exam on December 15, 2027. On which of the following dates will she be unable to apply for a license without first retaking the exam?",6/15/2028,10/1/2028,12/13/2028,12/20/2028,d,"An applicant who passes the examination must apply for a license within one year. After one year, the applicant must reapply for and retake the exam"
A property manager-in-charge applicant must have an active property manager license and have completed,five (5) hours of instruction in property management accounting and a baccalaureate degree or a master's degree,seven (7) hours of instruction in property management accounting and record keeping approved by the Commission,ten (10) hours of instruction in property management accounting and record keeping approved by the Commission,seven (7) hours of instruction in property management accounting and a baccalaureate degree or a master's degree,b,A property manager-in-charge applicant must have an active property manager license and have completed seven (7) hours of instruction in property management accounting and record keeping approved by the Commission
How many South Carolina Real Estate Commissioners are active in the practice of real estate?,6,7,8,9,c,There are 8 South Carolina Real Estate Commission members who are active in the practice of real estate
"Once a hearing is conducted, how many days does the Commission have to render a decision and serve notice to a licensee?",30 days,60 days,70 days,90 days,d,"Once a hearing is conducted, the Commission has 90 days to render a decision and serve notice to a licensee"
To what entity can a licensee appeal if the Commission issues an adverse order?,Administrative Law Court,Court of Appeals,First State Courts,Real Estate Hearing Review Board,a,A licensee can appeal to the Administrative Law Court if the Commission issues an adverse order
Which fund is used to evaluate factors that affect the real estate industry in South Carolina?,South Carolina Real Estate Education Program ,South Carolina Real Estate Commission Education and Research Fund ,South Carolina Real Estate Business Fund,South Carolina Real Estate Development Fund,b,The South Carolina Real Estate Commission Education and Research Fund is used to evaluate factors that affect the real estate industry in South Carolina
What type of penalties can be imposed upon an unlicensed person performing real estate activities in South Carolina?,"Felony and be fined up to $5,000",Misdemeanor and be either fined or jailed,Felony and be fined or jailed or both,Misdemeanor and be fined or jailed or both,d,"Any unlicensed person who performs any activity that requires a license can be found guilty of a misdemeanor and fined up to $500, sentenced to 6 months in jail, or both"
What license status allows a broker to complete only the mandatory four-hour core course biennially to maintain active licensure?,A minimum of twenty-two (22) years of licensure,A minimum of twenty (20) years of licensure and an experience-based partial continuing education waiver,A minimum of twenty-five (25) years of licensure and an experience-based partial continuing education waiver,A minimum of twenty-five (25) years of uninterrupted licensure,c,"If a broker has at least twenty-five years of licensure and an experience-based partial continuing education waiver, then he or she is required to complete only the mandatory four-hour core course biennially to maintain active licensure"
"An applicant for initial licensure can be licensed, but",the license will be placed on “inactive” status until a criminal background search has been completed,the license will be placed on “inactive” status until that new licensee can activate under a broker-in-charge,will be licensed as "preactive” status until that new licensee can activate under a broker-in-charge,will be licensed on “inactive” status until the Commission appoints a broker-in-charge,b,"An applicant for initial licensure can be licensed, but the license will be placed in “inactive” status until that new licensee can activate under a supervising in-charge licensee"
"In order to avoid license cancellation in the South Carolina, what actions must a resident licensee take who becomes a nonresident?",Notify the Commission of the new state of residence of the licensee's active status in SC,Notify the Commission and be placed on inactive status,"Notify the Commission in writing, within sixty (60) days of the change in residency","Notify the Commission in writing, within thirty (30) days of the change in residency and comply with nonresident requirements",d,"In order to avoid license cancellation in South Carolina, a resident licensee who becomes a nonresident must notify the Commission in writing, within thirty (30) days of the change in residency and comply with nonresident requirements"
What is the maximum period of time that any licensee may choose to place his or her license on inactive status?,Indefinite period of time,2 years,5 years,8 years,a,There is no maximum period of time that a licensee may choose to place his or her license on inactive status
Which of the following statements is true? ,All licensees must renew in odd numbered years,All licensees must renew in even numbered years,Approximately one half of the licensees must renew in even numbered years and the remainder in odd numbered years,All licensees must renew on their initial license application anniversary date,c,About one half of South Carolina licensees must renew in even numbered years and the other half in odd numbered years
"A resident licensee may pay a referral fee on a cooperative basis to a brokerage of another state, provided that the out-of-state broker",does not conduct brokerage services in South Carolina,is on inactive status in South Carolina,previously held a South Carolina real estate license,uses a South Carolina-based company for the closing transaction,a,"A resident licensee may pay a referral fee on a cooperative basis to a brokerage of another state, provided that the out-of-state broker does not conduct brokerage services in South Carolina"
Which of the following statements is true?,A nonresident licensee is required to maintain a place of business in South Carolina if the nonresident expects to receive any compensation or referral fees from transactions conducted within South Carolina,"A nonresident licensee can maintain an inactive license in the state of residency, have no active place of business in SC, and receive compensation from transactions conducted within South Carolina",A nonresident licensee is required to maintain a place of business in both South Carolina and the state of residency if the nonresident expects to receive any compensation or referral fees from transactions conducted within South Carolina,A nonresident licensee is not required to maintain a place of business in South Carolina if the nonresident maintains an active place of business in the state of residence,d,A nonresident licensee is not required to maintain a place of business in South Carolina if the nonresident maintains an active place of business in the state of residence
How long must a person wait before reapplying for a license after revocation?,3 years,3 years and one day,2 years,90 days,a,A person must wait for 3 years before reapplying for a license after revocation
An applicant who passes the examination must apply for a license within what timeframe in order to avoid needing to reapply and retake the exam?,120 days,One year,90 days,Two years,b,"If an applicant passes the examination, he or she must apply for a license within one year to avoid needing to reapply and retake the exam"
A property manager-in-charge applicant must have an active property manager license and must have completed,seventeen (17) hours of instruction in property management accounting and record keeping approved by the Commission,ten (10) hours of instruction in property management accounting and record keeping approved by the Commission,fifteen (15) hours of instruction in property management accounting and a baccalaureate degree or a master's degree,seven (7) hours of instruction in property management accounting and record keeping approved by the Commission,d,A property manager-in-charge applicant must have an active property manager license and must have completed seven hours of instruction in property management accounting and record keeping approved by the Commission
"How many active, licensed real estate commissioners are on the South Carolina Real Estate Commission?",8,7,6,5,a,South Carolina law states that there must be 8 active licensed real estate members on the Commission
"Once a hearing is conducted, the Commission has to render a decision and serve notice to a licensee within how many days?",30 days,45 days,90 days,120 days,c,"Once a hearing is conducted, the Commission has to render a decision and serve notice to a licensee within 90 days"
What action can a licensee take to appeal an adverse order given by the Commission?,Request a case review before the Real Estate Hearing Review Board,Request a hearing before the Administrative Law Court,Request a hearing before the First State Court,Request a case review by the Attorney General's office,b,A licensee must request a hearing before the Administrative Law Court to appeal an adverse order given by the Commission
What is the purpose of the South Carolina Real Estate Commission Education and Research Fund?,Support a real estate scholarship program for low-income licensee applicants in South Carolina,Pay for the publication and distribution of a real estate newsletter in South Carolina ,Develop real estate training programs,Evaluate factors that affect the real estate industry in South Carolina,d,The purpose of the South Carolina Real Estate Commission Education and Research Fund is to evaluate factors that affect the real estate industry in South Carolina
A change in residency must be reported to the Commission in writing within,30 days of the change,60 days of the change,45 days of the change,90 days of the change,a,A change in residency must be reported to the Commission in writing within 30 days of the change
Brokers and salespersons must complete,"12 hours of continuing education biennially, 4 of which must be in mandated topics","10 hours of continuing education biennially, 4 of which must be in mandated topics","14 hours of continuing education biennially, 4 of which must be in mandated topics","12 hours of continuing education biennially, 6 of which must be in mandated topics",b,"Brokers and salespersons must complete 10 hours of continuing education biennially, 4 of which must be in mandated topics"
A license is valid for 2 years and expires on,30-Jul,15-Jun,30-Jun,1-May,c,A license is valid for 2 years and expires on June 30
Which of the following statements is true?,Nonresident licensees are not recognized in SC,Nonresident licensees will be recognized in SC only if the licensee’s jurisdiction recognizes SC licensees,All nonresident licensees are recognized in SC,Nonresident licensees will be recognized in SC after completing 12 hours of approved continuing education courses,b,Nonresident licensees will be recognized in SC only if the licensee’s jurisdiction recognizes SC licensees
What is the minimum age to become a property manager in-charge?,18 years old,19 years old,20 years old,21 years old,d,The minimum age to become a property manager in-charge is 21 years old
"A branch office must be accessible by the public, investigators, and inspectors",during the hours of 9 AM and 3 PM,during reasonable business hours,during weekend hours,at least 25 hours a week,b,"A branch office must be accessible by the public, investigators, and inspectors during reasonable business hours"
Broker-in-charge Dan died on August 1st and associate licensee Sally was assigned to take over Dan's duties. What is the maximum amount to time that Sally can remain in this position?,Up to six (6) months,Up to five (5) months,Up to 30 days,Up to one year,a,"In the event a broker-in-charge dies, the department may permit an associated licensee to act as broker-in-charge or property manager-in-charge for up to six (6) months"
Which of the following statements is most accurate?,A broker-in-charge can never be liable for a law violation committed by a supervised licensee,A supervised licensee may receive compensation for real estate activities from any person or entity,A broker-in-charge may be liable to some degree for law violations committed by a supervised licensee,A broker-in-charge must collect all trust funds received in connection with a real estate transaction within 3 business days of the transaction,c,Associated licensees are bound by the same laws and regulations that a broker-in-charge is required to follow. A broker-in-charge may be liable to some degree for law violations committed by an associated licensee
Team members,are allowed to conduct real estate business from a home office,are allowed to conduct real estate business from a car/van,must conduct all real estate brokerage activities in a branch office without direct supervision of a broker-in-charge,must conduct all real estate brokerage activities from their commission-established office under the supervision of a broker-in-charge,d,Team members must conduct all real estate brokerage activities from their commission-established office under the supervision of a broker-in-charge.  They cannot operate only under a salesperson or another broker
A broker-in-charge,may not pay a referral fee to an unlicensed individual who is party in the real estate transaction,may pay a referral fee to an unlicensed individual who is a party in the real estate transaction,may not pay a referral fee to any unlicensed individual,may pay an unlicensed employee for those activities the employee performs that require a real estate license,b,A broker-in-charge may pay a referral fee to an unlicensed individual who is a party in the real estate transaction under SC law
When must a licensee reveal the license status in a personal real estate transaction?,At the earliest practical opportunity after the first substantive contact with a consumer,When the customer asks for advice,When the customer makes a purchase offer,At any time prior to the customer making a purchase offer,a,A South Carolina licensee must reveal the license status in a personal real estate transaction at the earliest practical opportunity after first substantive contact with a consumer
Which of the following actions would be classified as "first substantive contact?",When a buyer asks what the asking price is for a property,When a customer asks what houses are for sale on the west side of town,When a customer agrees to an office meeting,When a buyer asks why the owner is selling,d,"Substantive contact means contact in which a discussion between the consumer and the associated licensee moves from casual introductory talk to a meaningful conversation regarding selling, buying, financial qualifications, or other confidential information that could harm a customer’s bargaining position"
Under what conditions must a licensee disclose the nature of a stigmatized property?,When a licensee is asked directly regarding a stigma,When a death occurred on the property,When there are rumors that the property is haunted,When the former owner was HIV positive,a,A buyer can bring action against an owner or agent of an owner who makes intentional misrepresentations in response to a direct inquiry regarding stigmas associated with real estate
"What, if any, action must a licensee take if his client's offer is rejected by a seller without a counter offer being made?",The licensee must have the seller sign a commission-promulgated offer rejection form which affirms presentation of the offer,The licensee must have the seller and the buyer sign a commission-promulgated offer rejection form which affirms presentation of the offer,The licensee must sign a commission-promulgated offer rejection form which affirms presentation of the offer,The licensee is required to inform his client within 24 hours of receipt of the rejection notice,c,"If a client’s offer is rejected by a seller without a counter offer being made, the licensee must sign a commission-promulgated offer rejection form which affirms presentation of the offer"
