Question,A,B,C,D,Correct Answer,Feedback / Explanation
Who is responsible for administering real estate license law in South Carolina?,The South Carolina Real Estate Commission,The Department of Housing and Urban Development,The South Carolina Human Affairs Commission,The South Carolina Association of REALTORS®,A. The South Carolina Real Estate Commission,"The South Carolina Real Estate Commission oversees administration of the real estate license law for the state, whereas the Association of REALTORS® is a trade association, the Human Affairs Commission responds to fair housing complaints, and the Department of Housing and Urban Development is a federal agency that oversees housing issues."
Which of the following comes under the authority of the South Carolina Real Estate Commission?,Administering the real estate licensing exams at established test centers,Creating the real estate licensing examinations for the state,Making and enforcing the rules to which real estate licensees are subject,Enacting the laws governing the actions of real estate licensees,C. Making and enforcing the rules to which real estate licensees are subject,"The South Carolina Real Estate Commission only has the authority to make and enforce the rules that real estate licensees must follow. The legislature enacts law, a testing service writes exam questions (which the commission then reviews), and an independent testing service administers the examinations."
Which of the following reasons may NOT serve as the basis for the South Carolina Real Estate Commission to investigate a licensee?,Based on the director's reasonable concern that the licensee may not be fit to practice,Based on its own initiative,Based on a written complaint regarding a cooperative commission arrangement,Based on a written complaint from a dissatisfied customer,C. Based on a written complaint regarding a cooperative commission arrangement,"The South Carolina Real Estate Commission may choose to investigate a licensee based on its own initiative, a complaint from a disgruntled customer, or a reasonable concern that the licensee may be unfit to practice; however, the Commission may not become embroiled in commission disputes."
Which of the following people needs to be licensed as a real estate broker in the state of South Carolina?,Sal Conti is an attorney-at-law who is acting under a power of attorney to convey real estate.,Jane Santi and Jack Winston are business partners who are selling an office building they own jointly.,Andrew Sage owns a duplex,Stephen Douglas employs fewer than three agents in his enterprise,D. Stephen Douglas employs fewer than three agents in his enterprise,"Anyone who employs even one agent must be licensed, but an individual acting under power of attorney to sign a principal's name and partners selling their own real estate need not be licensed. Duplex owners are specifically exempt from the licensing requirement."
An individual need NOT be licensed as a real estate agent to perform which of the following activities?,Employ licensees to perform real estate activities,Negotiate a listing agreement,Get paid for helping someone find a buyer for their home,To resell a personal manufactured home,D. To resell a personal manufactured home,"Reselling a personal manufactured home may be accomplished without a license, but an individual must be licensed as a real estate agent or property manager in order to sell real estate in exchange for payment, employ licensees to perform real estate activities, and to negotiate listings."
Which of the following professionals does NOT need to hold a real estate license in order to perform real estate activities in the scope of their professional duties?,A resident apartment manager,A land auctioneer,An attorney whose client requires a real estate transaction,An appraiser,C. An attorney whose client requires a real estate transaction,"An attorney may perform real estate activities without a license if the transaction is within the scope of duties for the client, but appraisers and auctioneers must have a real estate license to engage in real estate activities and a resident apartment manager must hold either a real estate or property manager's license."
"Vera, an office manager for Roadside Realty, performs the following activities on a routine basis: managing the flow of paperwork through the office, preparing forms and advertising copy, and hiring and supervising clerical staff. Which of the following is true in these circumstances?",Vera is exempt from real estate licensing requirements.,Vera is required to have a salesperson's license to perform such duties.,Vera is required to have a broker's license to perform such duties.,Vera is violating the license law.,A. Vera is exempt from real estate licensing requirements.,"Since Vera is performing non-real estate clerical and office management duties, she is exempt from licensing requirements."
Which of the following is true regarding applications for any real estate license in South Carolina?,A completed application must be submitted before a candidate is eligible to sit for the written licensing exam,A photo of the applicant must be attached to the application,All applications must be received by May 31 of a calendar year in order to be considered during that year,The application must be accompanied by a sworn statement testifying to the applicant's character,A. A completed application must be submitted before a candidate is eligible to sit for the written licensing exam,"A license application must be submitted before a candidate can take the written exam, which is given throughout the year. Neither a photo nor a sworn character statement needs to accompany the application, although a fingerprint-based criminal background check will be required during the application process."
"Doug agreed to help his elderly neighbor, Mrs. Noonan, sell her house… Can Doug sue for payment?","Yes, although the statute of frauds does not permit recovery on an oral agreement for real estate transactions, South Carolina law allows enforcement of an oral commission contract under these circumstances.","No, South Carolina law requires an individual to have a valid real estate license at the time of closing in order to collect a commission from a seller.","No, South Carolina law disallows lawsuits to collect commissions unless the injured party is a licensed salesperson whose license was in effect before the oral agreement was made.","Yes, because Doug was scheduled to begin his formal real estate licensing coursework within 30 days of making the agreement with Mrs. Noonan, the commission agreement is binding.","C. No, South Carolina law disallows lawsuits to collect commissions unless the injured party is a licensed salesperson whose license was in effect before the oral agreement was made.",Doug cannot sue Mrs. Noonan for commission because he did not have an active license at the time the commission agreement was reached.
All of the following are requirements an applicant must meet for a real estate license in South Carolina EXCEPT:,Minimum age of 18,Completion of at least two years of college,Proof of passing score on the license examination within the past calendar year,Complete a criminal background check,B. Completion of at least two years of college,"An applicant does not need to show evidence of any college work as a prerequisite for obtaining a real estate license but must be at least 18 years of age, show proof of a passing score on the licensing examination (which is valid for one year), and complete a criminal background check using the SC Real Estate Commission's online criminal background check service."
What is the term of a real estate salesperson's license in South Carolina?,A two-year cycle that ends on June 30 in the designated year,"Two years, expiring on the date of the licensee's birthday in the appropriate year",Two years from the date of issuance,"Two years, expiring on December 31 in the appropriate year",A. A two-year cycle that ends on June 30 in the designated year,All licenses have been divided (by the commission) into a two-year cycle and expire on June 30 every two years.
