Question,A,B,C,D,Correct Answer,Feedback / Explanation
The essence of the agency relationship between an agent and a principal can best be described as a relationship of,"mutual consent, consideration, and acceptance","diligence, results, and compensation","service, dignity, and respect","trust, confidence, and good faith",d,"The essence of the agency relationship is trust, confidence, and mutual good faith"
"In an agency relationship, the principal is required to",promote the agent's best interests,accept the advice of the agent,provide sufficient information for the agent to complete the agent’s tasks,maintain confidentiality,c,"The principal must provide the agent with a sufficient amount of information to complete the desired activity. This may include property data, financial data, and the client's timing requirements"
A principal empowers an agent to conduct the ongoing activities of one of her business enterprises. This is an example of,limited agency,general agency,universal agency,special agency,b,"In a general agency, the principal delegates to the agent ongoing tasks and duties within a particular business or enterprise. Such delegation may include the authority to enter into contracts"
A property seller empowers an agent to market and sell a property on his behalf. This is an example of,general agency,special agency,universal agency,no agency,b,"Special, or limited, agency. Under a special agency agreement, the principal delegates authority to conduct a specific activity, after which the agency relationship terminates. In most cases, the special agent may not bind the principal to a contract"
Implied agency arises when,an agent accepts an oral listing,a principal accepts an oral listing,a party creates an agency relationship outside of an express agreement,"a principal agrees to all terms of a written listing agreement, whether express or implied",c,"An agency relationship can arise by implication, intentionally or unintentionally. Implication means that the parties act as if there were an agreement. For example, if an agent promises a buyer to do everything possible to find a property at the lowest possible price, and the buyer accepts the proposition, there may be an implied agency relationship even though there is no specific agreement"
An agency relationship may be involuntarily terminated for which of the following reasons?,Death or incapacity of the agent,Mutual consent,Full performance,Renewal of the agent's license,a,An agency relationship may terminate contrary to the wishes of the parties by reason of death or incapacity of either party
"A principal discloses that she would sell a property for $375,000. During the listing period, the house is marketed for $425,000. No offers come in, and the listing expires. Two weeks later, the agent grumbles to a customer that the seller would have sold for less than the listed price. Which of the following is true?",The agent has violated the duty of confidentiality,"The agent has fulfilled all fiduciary duties, including confidentiality, since the listing had expired",The agent is violating the duties owed this customer,The agent has created a dual agency situation with the customer,a,"An agent must hold in confidence any personal or business information received from the client during the term of employment. An agent may not disclose any information that would harm the client's interests or bargaining position, or anything else the client wishes to keep secret"
"A principal instructs an agent to market a property only to families on the north side of town. The agent refuses to comply. In this case,",the agent has violated fiduciary duty,the agent has not violated fiduciary duty,the agent is liable for breaching the listing terms,the agent should obey the instruction to salvage the listing,b,"An agent must comply with the client's directions and instructions, provided they are legal. An agent who cannot obey a legal directive, for whatever reason, must withdraw from the relationship. If the directive is illegal, the agent must also immediately withdraw"
"An owner's agent is showing a buyer an apartment building. The buyer notices water stains on the ceiling, and informs the agent. The agent's best course of action is to",immediately contract to paint the ceiling,immediately contract to repair the roof,suggest the buyer make a lower-price offer,inform the seller,d,"An agent has the duty to inform the client of all material facts, reports, and rumors that might affect the client's interests in the property transaction"
An agent owes customers several duties. These may be best described as,"fairness, care, and honesty","obedience, confidentiality, and accounting","diligence, care, and loyalty","honesty, diligence, and skill",a,"In general, agents owe a third party:  •honesty and fair dealing  • reasonable care and skill  •proper disclosure"
"An agent fails to discover flood marks on the walls in the basement of a property. The agent sells the property, and the buyer later sues the agent for failing to mention the problem. In this case, the agent",may be guilty of intentional misrepresentation,has an exposure to a charge of negligent misrepresentation,"has little exposure, since the problem was not mentioned on the signed disclosure form","is not vulnerable, since the problem was not discovered",b,"An agent can be held liable for failure to disclose facts the agent was not aware of if it can be demonstrated that the agent should have known such facts. For example, if it is a common standard that agents inspect property, then an agent can be held liable for failing to disclose a leaky roof that was not inspected"
"An agent informs a buyer that a clause in a contract is standard language. After explaining the clause, the agent assures the buyer that the clause does not mean anything significant. If something goes wrong with the transaction, the agent could be liable for",violating duties owed a customer,misinterpreting the clause,intentional misrepresentation,practicing law without a license,d,"A broker must exercise care not to offer advice outside of his or her field of expertise. Violations of this standard may expose the agent to liability for the unlicensed practice of a profession such as law, engineering, or accounting"
"An outside broker locates a seller for a buyer representative's client. In this instance, the outside broker is acting as",a single agent,a dual agent,a subagent,a secret agent,c,"In a subagency, a broker or licensed salesperson works as the agent of a broker who is the agent of a client. Subagents might include a cooperating licensed broker, that broker's licensed salespeople, and the listing broker's licensed salespeople, all of whom agree to work for the listing broker on behalf of the client"
"Agent Bob, who works for Broker Bill, obtains an owner listing to lease a building. Bill's other agent, Sue, locates a tenant for Bob's listing. In the absence of any arrangement to the contrary, Broker Bill in this instance is",an implied agent,a dual agent,a single agent,a subagent,b,"Dual agency occurs whenever a single broker represents both principal parties to a transaction. Here, since Bob and Sue work for Bill, Bill is the dual agent"
"An agent is operating as a disclosed dual agent on a transaction. In this case, the agent",may not represent one party's interests to the detriment of the other,must withdraw from the relationships,must be obedient and loyal to both parties,must require that the principals share equally in paying the commission,a,"A dual agent's first duty is to disclose the agency relationship to both principal parties or to withdraw from one side of the duality. After disclosing, the agent must obtain the written consent of both parties. If both parties accept the dual agency, the agent owes all the fiduciary duties to both parties except full disclosure, undivided loyalty, and exclusive representation of one principal's interests"
The duties of an agent acting as a facilitator are most similar to those of a,subagent,single agent,dual agent,implied agent,c,"A recent solution allows a broker to represent no one in a transaction. That is, the broker acts as a transaction broker, or facilitator, and is not an agent of either the buyer or seller. In this relationship, the facilitator does not advocate the interests of either party. This is most similar to dual agency"
The meaning and import of the agency relationship should be disclosed to the client,prior to completing a listing agreement,prior to or upon completion of an offer,upon the initial contact with the person,whenever a dual agency relationship is indicated,a,An agent who intends to represent a seller or owner must disclose the import of the proposed agency relationship in writing before the listing agreement is executed
Owner agents must disclose their agency relationship to tenants or buyers,immediately prior to the initial contact,upon initial contact,whenever substantive contact is made,immediately following any offer executed by the customer,c,A buyer agent must disclose the agency relationship to the seller or seller's agent on first contact. Substantive contact is assumed
A tenant representative should disclose his or her agency relationship to the owner's agent,immediately prior to the initial contact,upon initial contact,immediately prior to substantive contact,immediately following any offer executed by the landlord,b,A buyer agent must disclose the agency relationship to the seller or seller's agent on first contact. Substantive contact is assumed
A transaction broker should disclose his or her agency relationship to the transaction principals,upon first substantive contact,upon completion of the listing agreement,immediately following completion of any offer,upon initial contact of any kind,a,"The agent must provide written notice to all parties or their agents on first becoming a transaction broker or on the first substantive contact, whichever comes first"
Licensee Gretchen of the Jumbo Mountain Agency takes a listing to sell the home of John Hess. Prospective buyer Lucy Bingham asks licensee Calvin Bentley of the same agency to assist her in purchasing the Hess property. What can the broker of the Jumbo agency do to prevent Gretchen and Calvin from creating unwanted dual agency conflicts for Jumbo?,"Appoint Gretchen and Calvin as designated agents of the seller and buyer, respectively.",Have Calvin sign an exclusive buyer agency agreement with the buyer.,Have Gretchen sign a non-exclusive subagency agreement with the seller.,Take over Gretchen’s listing and act directly as the seller’s agent.,a,"A designated agent is a salesperson or an associate broker selected by the broker and client as the client's legal agent pursuant to a designated agency agreement. Under a designated agency agreement, the client has no agency relationship with any licensee other than those specified in the designated agency agreement. Absent such an agreement, the client has an agency relationship with the broker and all affiliated licensees in the brokerage firm. The designated agency agreement allows a broker to select a salesperson and associate brokers to act as the client’s agent."
"The most primary of relationships in real estate brokerage is that between broker and client, the relationship known in law as the",universal agency,agency relationship,general agency,implied agency,b,"The most primary of relationships in real estate brokerage is that between broker and client, the relationship known in law as the agency relationship. In every state, a body of law, generally called the law of agency, defines and regulates the legal roles of this relationship"
The parties to the agency relationship are identified as the ,"client, broker and third party",lessor and lessee,broker and attorney,loan officer and lender,a,"The parties to the relationship are the principal (a client), the agent (a broker), and the customer (a third party)"
The “third party” in an agency relationship is known as the,principal,client,customer,agent,c,"The parties to the relationship are the principal (a client), the agent (a broker), and the customer (a third party)"
The essence of the agency relationship is ,"trust, confidence, and mutual good faith","skill, knowledge, and financially beneficial","representation, compensation, and profit","universal, general, and special",a,"The essence of the agency relationship is trust, confidence, and mutual good faith. The principal trusts the agent to exercise the utmost skill and care in fulfilling the authorized activity, and to promote the principal's best interests. The agent undertakes to strive in good faith to achieve the desired objective, and to fulfill the fiduciary duties"
The party who hires the agent is known as which of the following?,The customer,The broker,The principal,The prospect,c,"The principal, or client, is the party who hires the agent. The agent works for the client. The principal may be a seller, a buyer, a landlord, or a tenant"
Which of the following statements describes a universal agency relationship?,The principal delegates to the agent ongoing tasks and duties within a particular business or enterprise,"The principal delegates authority to conduct a specific activity, after which the agency relationship terminates","The principal hires a licensed broker to procure a ready, willing, and able buyer or seller",The principal empowers the agent to perform any and all actions that may be legally delegated to an agency representative,d,"In a universal agency relationship, the principal empowers the agent to perform any and all actions that may be legally delegated to an agency representative. The instrument of authorization is the power of attorney"
"In most instances, real estate brokerage is based on which of the following types of agency? ",Universal agency,General agency,Special agency,Implied agency,c,"In most instances, real estate brokerage is based on a special agency. The principal hires a licensed broker to procure a ready, willing, and able buyer or seller"
"An agency relationship can arise by implication, intentionally or unintentionally. Which of the following illustrates implied agency?",An agent promises a buyer to do everything possible to find a property without entering into a specific agreement,An agent signs a listing agreement with a seller promising to do everything possible to find a buyer,An agent provides the buyer with a written disclosure statement indicating that the buyer should seek representation,An agent responds to an email answering general questions about the advertised property,a,"An agency relationship can arise by implication, intentionally or unintentionally. Implication means that the parties act as if there were an agreement. For example, if an agent promises a buyer to do everything possible to find a property at the lowest possible price, and the buyer accepts the proposition, there may be an implied agency relationship even though there is no specific agreement"
An agency relationship may terminate for all the following reasons EXCEPT,the death of either party,the destruction of the property,the revocation of the agent’s license,undisclosed property defects,d,"An agency relationship may terminate by reason of: death or incapacity of either party, abandonment by the agent, condemnation or destruction of the property, renunciation, breach, bankruptcy, revocation of the agent's license. An undisclosed property defect would not be grounds for terminating the agency relationship"
Which of the following is an example of an agent’s fiduciary duty of care?,An agent who offers advice outside of his or her field of expertise,An agent who does not offer advice outside of his or her field of expertise,An agent who withholds unrealistically low-priced offers from the seller,An agent who recommends the buyer make a 95% offer,b,"The notion of care extends to observing the limited scope of authority granted to the agent. A conventional listing agreement does not authorize an agent to obligate the client to contracts, and it does not allow the agent to conceal offers to buy, sell, or lease coming from a customer or another agent. Further, since a client relies on a broker's representations, a broker must exercise care not to offer advice outside of his or her field of expertise"
Which fiduciary duty requires the agent to place the interest of the client above those of all others?,The duty of loyalty,The duty of obedience,The duty of confidentiality,The duty of accounting,a,"The duty of loyalty requires the agent to place the interests of the client above those of all others, particularly the agent's own. This standard is particularly relevant whenever an agent discusses transaction terms with a prospect"
Which fiduciary duty extends beyond the termination of the listing?,The duty of loyalty,The duty of obedience,The duty of confidentiality,The duty of accounting,c,The confidentiality standard is one of the duties that extends beyond the termination of the listing: at no time in the future may the agent disclose confidential information
Critical areas of disclosure to prospective buyers in a transaction are,"a neighborhood’s race, religion, and principal ethnicities","agency, property condition, and environmental hazards",the seller’s original purchase price,the seller’s motivations to sell,b,"Essential disclosures to buyers primarily concern agency, property condition, and environmental hazards"
An agent who intentionally fails to reveal a material fact about a property is,protecting the seller and fulfilling his or her fiduciary duty of confidentiality,defrauding a buyer and could be held liable for intentional misrepresentation,liable for negligent misrepresentation,liable for misrepresentation of expertise,b,"An agent may defraud a buyer by misrepresenting or concealing facts. While it is acceptable to promote the features of a property to a buyer or the virtues of a buyer to a seller, it is a fine line that divides promotion from misrepresentation. Silent misrepresentation, which is intentionally failing to reveal a material fact, is just as fraudulent as a false statement"
Which of the following statements is true regarding the obligations of a principal in an agency relationship?,The principal must be available for showings,The principal must be available for decision-making,The principal must allow the agent to advertise the property,The principal must always pay compensation,b,"One of the obligations of a principal in an agency relationship concerns availability. In a special agency, the power and decision-making authority of the agent are limited. Therefore, the principal must be available for consultation, direction, and decision-making. Otherwise the agent cannot complete the job"
A breach of duty by a real estate licensee may result in all the following EXCEPT,rescission of the listing agreement,forfeiture of any earned compensation,disciplinary action by the state license law authorities,rescission of the sales contract between the seller and buyer,d,"A breach of duty may result in: rescission of the listing agreement (causing a loss of a potential commission), forfeiture of any compensation that may have already been earned, disciplinary action by state license law authorities, including license suspension or revocation, suit for damages in court"
"In a _____________________ role, the agent represents one party in the transaction",single agency,subagency,duel agency,facilitator,a,"In single agency, the agent represents one party in a transaction. The client may be either seller or buyer"
"In a subagency relationship, a broker or licensed salesperson works as",the agent of a seller who is also cooperating with other agents,the agent of a broker who is the agent of a client,the agent of a broker who is the agent of a customer,the transactional broker who is not representing either party,b,"In a subagency, a broker or licensed salesperson works as the agent of a broker who is the agent of a client. Subagents might include a cooperating licensed broker, that broker's licensed salespeople, and the listing broker's licensed salespeople, all of whom agree to work for the listing broker on behalf of the client"
Which of the following is an example of dual agency?,An agent who represents two brokerage firms,An agent who represents buyers and tenants,An agent who represents sellers and landlords,An agent who represents both tenant and owner,d,Dual agency means representing both principal parties to a transaction. The agent represents both buyer and seller or tenant and owner
The primary forms of an agency relationship between brokers and principals are all the following EXCEPT,single agency,dual agency,subagency,transaction agency,d,"The primary forms of agency relationship between brokers and principals are: single agency, dual agency, and subagency. In a fourth kind of relationship, referred to as transaction brokerage, no agency relationship exists in the transaction"
A broker who represents no one in a transaction is acting as a/an,transaction broker,single agent,general agent,implied agent,a,"A broker to represent no one in a transaction. That is, the broker acts as a transaction broker, or facilitator, and is not an agent of either the buyer or seller. In this relationship, the facilitator does not advocate the interests of either party"
"In the role of a transaction broker, the broker's duties and standards of conduct are to ",protect the confidences of both parties,protect the client’s investment,provide legal advise to the parties,secure the loan for the transaction,a,"In the role of transaction broker, the broker's duties and standards of conduct are to: account for all money and property received or handled, exercise reasonable skill and care, provide honesty and fair dealing, present all offers in a timely fashion, assist the parties in closing the transaction, keep the parties fully informed, advise the parties to obtain expert advice or counsel, disclose to both parties in residential sale transactions all material facts affecting the property's value, protect the confidences of both parties in matters that would materially disadvantage one party over the other"
Which of the following statements is true regarding the duties imposed on a transaction broker?,The broker is held to standards for dealing with clients as opposed to customers,The transaction broker has an obligation to inspect the property for the benefit of a party,There are no fiduciary duties binding the transaction broker,The transaction broker must verify the accuracy of statements made by a party,c,"Since there are no fiduciary duties binding the transaction broker, the broker is held to standards for dealing with customers as opposed to clients. These include honesty, fair dealing, and reasonable care. The transaction broker is under no obligation to inspect the property for the benefit of a party or verify the accuracy of statements made by a party"
The objective of agency disclosure is to ,remove all liability from the broker,remove confusion about who an agent is working for,notify prospective clients that they have no choice in how they are represented,notify prospective customers that they have no choice in how they are represented,b,"Disclosure removes confusion about who an agent is working for. It may obviate complaints arising from customers and clients who feel they have been deceived. Specifically, the requirement to disclose aims to: notify clients and customers about whom the agent represents, inform clients and customers of the fiduciary duties and standards of care the agent owes them, inform prospective clients and customers that they have a choice in how they are represented, obtain acknowledgement and acceptance of the disclosure from the principal parties"
A listing agent must disclose in writing to a buyer or tenant that the agent represents the owner in the transaction. This disclosure must occur ,after accepting an offer from the prospective buyer,after the closing of the transaction,before the seller accepts the offer from the prospective buyer,before or at the first substantive contact with the customer prospect,d,"A listing agent must disclose in writing to a buyer or tenant that the agent represents the owner in the transaction. This disclosure must occur before or at the first ""substantive contact"" with the customer prospect. The disclosure must also be confirmed in any subsequent sale or lease contract"
"Subject to variations in state regulation, ""substantive contact"" between listing agent and customer occurs whenever the agent is ",showing the buyer more than three properties,holding an open house answering general questions about the location,responding to questions of fact regarding advertised properties,eliciting confidential information from a prospect regarding motivation,d,"Subject to variations in state regulation, ""substantive contact"" between listing agent and customer occurs whenever the agent is: showing the prospect a property, eliciting confidential information from a prospect regarding needs, motivation, or financial qualification, executing a contractual offer to sell or lease"
An agent who desires to operate in a dual agency capacity must ,obtain the informed written consent of all parties,obtain the written consent of the broker,verbally notify all the parties,be compensated by all parties,a,"An agent who desires to operate in a dual agency capacity must obtain the informed written consent of all parties. Subsequent contracts should confirm the disclosure. ""Informed written consent"" means both parties have read, understood, and signed an acceptable disclosure form"
"A dual agent, unless expressly instructed by the relevant party, usually cannot disclose which of the following?",The motivation of any party concerning the transaction,The buyer's financial qualifications,The material defects of the property,The amount of the offer,a,"An agency relationship can arise by implication, intentionally or unintentionally. Implication means that the parties act as if there were an agreement. For example, if an agent promises a buyer to do everything possible to find a property at the lowest possible price, and the buyer accepts the proposition, there may be an implied agency relationship even though there is no specific agreement"
Which of the following can occur if a broker or agent acts in any way that leads a customer to believe that the agent is representing the customer? ,An implied single agency has occurred,An expressed and disclosed single agency has occurred,An implied and undisclosed dual agency can potentially be created,An expressed and undisclosed dual agency can potentially be created,c,"If a broker or agent acts in any way that leads a customer to believe that the agent is representing the customer, a dual agency has potentially been created"
It is cooperating brokers who form _____________ to facilitate the process of bringing together buyers and sellers,multiple listing services ,associations,cooperatives,bylaws,a,It is cooperating brokers who form multiple listing services to facilitate the process of bringing together buyers and sellers
An agent of the seller is known as the,selling agent,listing broker,buyer’s broker,tenant representative,b,Real estate vernacular calls an agent of the seller or owner the listing broker. An agent who works for the listing broker and who obtained the listing is the listing agent. A broker who represents a buyer is the buyer's broker. One who does this as a specialization is a buyer broker. A broker or salesperson who represents tenants is a tenant representative
A broker who represents lessees is a,selling agent,listing broker,buyer’s broker,tenant representative,d,Real estate vernacular calls an agent of the seller or owner the listing broker. An agent who works for the listing broker and who obtained the listing is the listing agent. A broker who represents a buyer is the buyer's broker. One who does this as a specialization is a buyer broker. A broker or salesperson who represents tenants is a tenant representative
"Agents have certain obligations to customers, even though they do not represent them. In general, they owe a third party ",reasonable care and skill,expert advice,due diligence,obedience and loyalty,a,"Agents do have certain obligations to customers, even though they do not represent them. In general, they owe a third party: honesty and fair dealing, reasonable care and skill, proper disclosure"
An agent has the duty to inform the client of ,the crime statistics for the neighborhood where the property is located,all the handicap-accessible neighborhood amenities,all material facts that might affect the clients‘ interest in the property transaction,the demographic data for a given area,c,"An agent has the duty to inform the client of all material facts, reports, and rumors that might affect the client's interests in the property transaction"
Which of the following does NOT terminate an agency agreement?,Full performance,Abandoment by the agent,Abandonment by the seller,Expiration,c,"Full performance of all obligations by the parties terminates an agency relationship. In addition, the parties may terminate the relationship at any time by mutual agreement. Thirdly, the agency relationship automatically terminates on the expiration date, whether the obligations were performed or not"
Which of the following agreements allow a broker to select salespersons and/or associate brokers to act as the client’s agent?,The client privacy agreement,The undisclosed dual agency agreement,The special agency agreement,The designated agency agreement,d,The designated agency agreement allows a broker to select a salesperson and associate brokers to act as the client’s agent.  A designated agency agreement must contain the name of all associate brokers who are authorized to act as supervisory brokers.
The agency relationship is defined by,the Realtor® Code of Ethics,the laws of agency,the law of real estate contracts,the agreement between a principal and an agent,b,"In every state, a body of law, generally called the law of agency, defines and regulates the legal roles of this relationship. While the relationship is subject to contract law, agency law dictates how the relationship will achieve its purposes, regardless of what the listing contract states"
Which of the following is true of the connection between compensation and the agency relationship?,An agreement to give and receive compensation creates an agency relationship,"If an agency relationship exists, the principal must provide valuable consideration to the agent",The relationship is independent of any compensation arrangement,"If an agency relationship exists, the agent is entitled to compensation",c,It is important to understand that the agency relationship does not require compensation or any form of consideration. Nor does compensation define an agency relationship: a party other than the principal may compensate the agent
The defining feature of a special agency is that the agent has authority to perform,all actions legally delegated by a power of attorney,all actions necessary to conduct an enterprise on behalf of the principal,all actions necessary to complete a specific transaction on behalf of the principal,"specific activities on behalf of the principal, as defined in the agency agreement",d,"Under a special agency agreement, the principal delegates authority to conduct a specific activity, after which the agency relationship terminates"
The agent and principal may terminate the agency relationship by mutual consent,at any time,at any time until the agent has begun to perform the obligations of the agreement,only if the written agreement provides for cancellation,only if the principal and agent have a contract,a,The parties to an agency relationship may terminate the relationship at any time by mutual agreement
"If an agency relationship terminates because one of the parties defaulted, which of the following is true?",All obligations are extinguished,Both parties must continue to perform all obligations of the agreement,The defaulting party may have a financial liability,The damaged party has no claim against the defaulting party,c,"Involuntary termination of the relationship may create legal and financial liability for a party who defaults or cancels. For example, a client may renounce an agreement but then be held liable for the agent's expenses or commission"
Among the fiduciary duties imposed on a real estate agent is the requirement to,refuse offers the agent knows will be unacceptable to the principal,present all offers to the principal,advise the principal against accepting an offer that is below full price,advise a prospect that the principal will not accept the prospect's offer in order to elicit a better offer,b,"A conventional listing agreement does not authorize an agent to obligate the client to contracts, and it does not allow the agent to conceal offers to buy, sell, or lease coming from a customer or another agent. Further, since a client relies on a broker's representations, a broker must exercise care not to offer advice outside of his or her field of expertise"
One of the agent's fiduciary duties that continues even after a listing agreement expires is,obedience,diligence,confidentiality,disclosure,c,The confidentiality standard is one of the duties that extends beyond the termination of the listing: at no time in the future may the agent disclose confidential information
The level of competence that a principal has the right to expect from an agent is generally that which is,specified in the agency agreement,necessary to earn the promised compensation,necessary to procure a customer,comparable to that of other practitioners in the area,d,"The agent is hired to do a job, and is therefore expected to do it with diligence and reasonable competence. Competence is generally defined as a ""standard of practice"" equal to the level of real estate marketing skills and knowledge of other practitioners in the area"
"If a potential buyer discloses financial qualifications to a seller's agent, the agent is required to",keep the information in confidence,disclose the information to the buyer's agent,disclose the information to the seller,verify the buyer's statements before disclosing them to the client,c,"An agent has the duty to inform the client of all material facts, reports, and rumors that might affect the client's interests in the property transaction. This includes: the agent's opinion of the property's condition; information about the buyer's motivations and financial qualifications; discussions between agent and buyer regarding the possibility of the agent's representing the buyer in another transaction"
A buyer's broker owes the full set of fiduciary duties to,the buyer,the seller,the party who will pay the commission,the seller's agent,a,"The agency relationship imposes fiduciary duties on the client and agent, but particularly on the agent. The buyer is a client of the buyer's broker, and the buyer's broker is an agent of the buyer"
A subagent is technically the agent of,the seller,the buyer,a broker who has an agency relationship with a client,the client's and the customer's agents,c,"In a subagency, a broker or licensed salesperson works as the agent of a broker who is the agent of a client. Subagents might include a cooperating licensed broker, that broker's licensed salespeople, and the listing broker's licensed salespeople, all of whom agree to work for the listing broker on behalf of the client"
Which of the following is a dual agency situation?,Two agents share the exclusive right to represent the same client,One agent represents both sides in a transaction,A selling agent from one brokerage works with a listing agent from another brokerage to complete a transaction,One agent represents two sellers at the same time,b,Dual agency means representing both principal parties to a transaction. The agent represents both buyer and seller or tenant and owner
Which of the following situations has the potential for creating an implied dual agency?,A listing agent's subagent learns that a potential buyer has made false claims about his financial qualifications and informs the listing agent,A listing agent's subagent learns that a potential buyer has made false claims about his financial qualifications and does not inform the listing agent,A buyer's agent notices a structural problem in a house the buyer is considering and informs the buyer,A buyer's agent notices a structural problem in an house the buyer is considering and informs the buyer and the seller's agent,b,"If a broker or agent acts in any way that leads a customer to believe that the agent is representing the customer, a dual agency has potentially been created. For example, a buyer makes confidential disclosures to the agent who works for the seller and exhorts the agent to keep them confidential. The buyer wants the house but knows he is going to lose his job in a month and probably will not qualify for financing. If the agent agrees to keep the information confidential, the agent has not only created an agency relationship with the buyer, but is now in a dual agency situation. Moreover, if the agent fails to disclose the buyer's confidence to the seller, the agent has violated fiduciary duty to the seller"
"Among the duties of a broker who is acting as a transaction broker, or facilitator, is",preserving the confidentiality of information received from either party by not telling the other party,helping the two parties to arrive at a deal that is closest to achieving the objectives of each party,disclosing material facts that affect the value of the property to both parties,choosing to obey the instructions of one party and informing the other party of the decision,c,"In the role of facilitator, the broker's only fiduciary duties and standards of conduct are those of accounting; skill, care, and diligence; honesty and fair dealing; and disclosure to both parties of all material facts in residential sale transactions affecting the property's value. Some states do not allow for this form of relationship in a real estate transaction"
In which of the following contact situations would a seller's agent be expected to disclose his agency relationships?,The agent is showing the client's property to a prospective buyer,The agent tells an acquaintance at a party about the client's property,The agent answers questions about the client's property for a telephone caller responding to a newspaper ad,The agent is showing a potential buyer houses in a certain price range in the multiple listing book,a,"Agency disclosure must occur upon ""substantive contact"" between the listing agent and a customer. Examples of substantive contact include: showing the prospect a property; eliciting confidential information from a prospect regarding needs, motivation, or financial qualification; and executing a contractual offer to sell or lease"
Which of the following is TRUE of a designated agency relationship?,The client has an implied agency relationship with all licensed agents in the designated agent’s firm.,There is no client confidentiality that must be preserved.,The agency agreement must name all associate brokers who are authorized to act as supervisory brokers.,A designated agent may represent both parties in a single transaction without being a dual agent for either. ,c,"A designated agency agreement must contain the name of all associate brokers who are authorized to act as supervisory brokers. A listing agreement or a buyer's agency agreement may be amended to establish a designated agency relationship, to change a designated agent, or to change supervisory brokers at any time pursuant to a written addendum."
"To be valid, a listing agreement",must be in writing,may be oral or written,must be an express agreement,must be enforceable,b,"A valid listing may be oral or written. However, many states consider only a written listing to be enforceable, particularly an exclusive right-to-sell listing"
"The type of listing that assures a broker of compensation for procuring a customer, regardless of the procuring party, is a(n)",exclusive right-to sell agreement,exclusive agency agreement,open listing,net listing,a,"The exclusive right-to-sell agreement is the most widely used owner agreement. Under the terms of this listing, a seller contracts exclusively with a single broker to procure a buyer or effect a sale transaction. If a buyer is procured during the listing period, the broker is entitled to a commission, regardless of who is procuring cause"
An owner agrees to pay a broker for procuring a tenant unless it is the owner who finds the tenant. This is an example of a(n),exclusive right-to sell agreement,exclusive agency agreement,open listing,net listing,b,"An exclusive agency listing authorizes a single broker to sell the property and earn a commission, but leaves the owner the right to sell the property without the broker's assistance, in which case no commission is owed"
